,0
0,1.400349497795105
1,0.9823318719863892
2,0.7367579936981201
3,0.6640481948852539
4,0.5062218904495239
5,0.6453815698623657
6,0.8185335397720337
7,1.0123084783554077
8,1.2279751300811768
9,1.3683528900146484
10,1.4380086660385132
11,1.2904272079467773
12,0.8579187393188477
13,0.6108165979385376
14,0.31619271636009216
15,0.23333345353603363
16,0.13443760573863983
17,0.17216265201568604
18,0.13457363843917847
19,-0.03865981101989746
20,-0.10180839896202087
21,-0.2647421658039093
22,-0.3555920720100403
23,-0.4550277888774872
24,-0.5517487525939941
25,-0.6505906581878662
26,-0.7268165349960327
27,-0.7999663352966309
28,-0.8841787576675415
29,-0.9848114252090454
30,-1.0964256525039673
31,-1.2082338333129883
32,-1.3189024925231934
33,-1.4180940389633179
34,-1.407399296760559
35,-1.2045042514801025
36,-0.9532084465026855
37,-0.8715647459030151
38,-0.9345293045043945
39,-1.0368674993515015
40,-1.101786494255066
41,-1.1204558610916138
42,-1.115613579750061
43,-1.1035685539245605
44,-1.0910167694091797
45,-1.0810129642486572
46,-1.0752767324447632
47,-1.0737526416778564
48,-1.0751514434814453
49,-1.0779038667678833
50,-1.08078932762146
51,-1.083088994026184
52,-1.0845109224319458
53,-1.0850640535354614
54,-1.084943175315857
55,-1.0844255685806274
56,-1.0837817192077637
57,-1.0832122564315796
58,-1.082827091217041
59,-1.0826494693756104
60,-1.0826430320739746
61,-1.0827447175979614
62,-1.0828890800476074
63,-1.0830249786376953
64,-1.0831230878829956
65,-1.0831745862960815
66,-1.0831847190856934
67,-1.0831667184829712
68,-1.0831358432769775
69,-1.0831040143966675
70,-1.0830793380737305
71,-1.0830647945404053
72,-1.0830599069595337
73,-1.0830625295639038
74,-1.08306884765625
75,-1.083076000213623
76,-1.0830820798873901
77,-1.0830861330032349
78,-1.0830878019332886
79,-1.083087682723999
80,-1.0830864906311035
81,-1.0830844640731812
82,-1.0830832719802856
83,-1.0830825567245483
84,-1.0830820798873901
85,-1.0830823183059692
86,-1.0830827951431274
87,-1.0830833911895752
88,-1.0830833911895752
89,-1.0830833911895752
90,-1.0830830335617065
91,-1.0830827951431274
92,-1.083082914352417
93,-1.0830833911895752
94,-1.0830837488174438
95,-1.0830835103988647
96,-1.0830832719802856
97,-1.0830827951431274
98,-1.0830827951431274
99,-1.0830827951431274
