time,gateway,appeui,deveui,frequency,channel,crcstatus,coderate,rssi,lorasnr,size,modulation,spreadfactor,bandwidth,bitrate,data,fcnt
2018-11-28T00:04:01+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472300000,4,1,4/5,-92,8.392157,19,LORA,12,125,0,80f8951c270d,3472
2018-11-28T00:09:06+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472900000,7,1,4/5,-97,8.705883,19,LORA,12,125,0,84f8d01c270d,3473
2018-11-28T00:14:06+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,471500000,0,1,4/5,-91,7.294117,19,LORA,12,125,0,89f81d1d270d,3474
2018-11-28T00:24:11+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472700000,6,1,4/5,-93,9.960785,19,LORA,12,125,0,76f89e1c270d,3476
2018-11-28T00:29:14+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,471700000,1,1,4/5,-105,9.960785,19,LORA,12,125,0,76f8a61c270d,3477
2018-11-28T00:34:19+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472900000,7,1,4/5,-91,8.862745,19,LORA,12,125,0,7bf8f41c330d,3478
2018-11-28T00:39:22+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472500000,5,1,4/5,-93,8.705883,19,LORA,12,125,0,84f8391d270d,3479
2018-11-28T00:44:23+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,471900000,2,1,4/5,-91,7.921568,19,LORA,12,125,0,75f8fd1c270d,3480
2018-11-28T00:49:26+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472500000,5,1,4/5,-101,9.490196,19,LORA,12,125,0,6df8a51c2a0d,3481
2018-11-28T00:54:29+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472700000,6,1,4/5,-88,7.921568,19,LORA,12,125,0,76f8f21c270d,3482
2018-11-28T00:59:34+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,471700000,1,1,4/5,-94,8.705883,19,LORA,12,125,0,80f84e1d330d,3483
2018-11-28T01:04:39+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472300000,4,1,4/5,-95,10.274509,19,LORA,12,125,0,84f8671d2a0d,3484
2018-11-28T01:09:44+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472100000,3,1,4/5,-92,9.17647,19,LORA,12,125,0,75f8e91c270d,3485
2018-11-28T01:14:46+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472100000,3,1,4/5,-92,7.921568,19,LORA,12,125,0,77f8e21c270d,3486
2018-11-28T01:19:51+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472300000,4,1,4/5,-99,10.431372,19,LORA,12,125,0,7bf8241d270d,3487
2018-11-28T01:24:54+08:00,8cf957fffe800097,9be421fd9759efa0,1897b4e934d36574,472300000,4,1,4/5,-94,11.215687,19,LORA,12,125,0,86f8671d270d,3488
