humidity,temp,time
75.04,-19.68,2018-11-17 00:04
75.15,-19.65,2018-11-17 00:09
74.9,-19.71,2018-11-17 00:14
74.63,-19.73,2018-11-17 00:19
74.66,-19.75,2018-11-17 00:24
74.84,-19.71,2018-11-17 00:29
75.05,-19.65,2018-11-17 00:34
75.11,-19.66,2018-11-17 00:39
74.8,-19.73,2018-11-17 00:44
74.6,-19.74,2018-11-17 00:49
74.63,-19.75,2018-11-17 00:54
74.79,-19.73,2018-11-17 00:59
75.01,-19.69,2018-11-17 01:04
74.95,-19.7,2018-11-17 01:09
74.63,-19.78,2018-11-17 01:14
74.54,-19.78,2018-11-17 01:19
74.66,-19.78,2018-11-17 01:24
74.92,-19.75,2018-11-17 01:29
75.1,-19.7,2018-11-17 01:34
74.92,-19.73,2018-11-17 01:39
74.61,-19.78,2018-11-17 01:44
74.57,-19.8,2018-11-17 01:49
74.76,-19.78,2018-11-17 01:54
74.99,-19.75,2018-11-17 02:00
75.18,-19.67,2018-11-17 02:05
74.98,-19.73,2018-11-17 02:10
74.66,-19.75,2018-11-17 02:15
74.64,-19.79,2018-11-17 02:20
74.79,-19.78,2018-11-17 02:25
75.0,-19.72,2018-11-17 02:30
75.19,-19.69,2018-11-17 02:35
75.05,-19.68,2018-11-17 02:40
74.73,-19.75,2018-11-17 02:45
74.7,-19.75,2018-11-17 02:50
74.83,-19.73,2018-11-17 02:55
75.08,-19.71,2018-11-17 03:00
75.24,-19.67,2018-11-17 03:05
74.98,-19.71,2018-11-17 03:10
74.71,-19.74,2018-11-17 03:15
74.67,-19.78,2018-11-17 03:20
74.81,-19.73,2018-11-17 03:26
75.06,-19.73,2018-11-17 03:31
75.15,-19.67,2018-11-17 03:36
74.87,-19.72,2018-11-17 03:41
74.64,-19.78,2018-11-17 03:46
74.66,-19.74,2018-11-17 03:51
74.87,-19.74,2018-11-17 03:56
75.1,-19.71,2018-11-17 04:01
75.13,-19.7,2018-11-17 04:06
74.8,-19.73,2018-11-17 04:11
74.63,-19.8,2018-11-17 04:16
74.7,-19.75,2018-11-17 04:21
74.91,-19.73,2018-11-17 04:26
75.18,-19.69,2018-11-17 04:31
75.15,-19.7,2018-11-17 04:36
74.79,-19.73,2018-11-17 04:41
74.66,-19.76,2018-11-17 04:46
74.7,-19.76,2018-11-17 04:51
74.92,-19.75,2018-11-17 04:56
75.16,-19.71,2018-11-17 05:01
75.05,-19.72,2018-11-17 05:06
74.72,-19.78,2018-11-17 05:11
74.63,-19.78,2018-11-17 05:16
74.76,-19.78,2018-11-17 05:21
74.97,-19.74,2018-11-17 05:26
75.2,-19.68,2018-11-17 05:32
75.08,-19.72,2018-11-17 05:37
74.75,-19.75,2018-11-17 05:42
74.66,-19.78,2018-11-17 05:47
74.79,-19.78,2018-11-17 05:52
74.98,-19.73,2018-11-17 05:57
75.18,-19.7,2018-11-17 06:02
74.95,-19.73,2018-11-17 06:07
74.65,-19.8,2018-11-17 06:12
74.61,-19.78,2018-11-17 06:17
74.79,-19.79,2018-11-17 06:22
75.01,-19.75,2018-11-17 06:27
75.21,-19.7,2018-11-17 06:32
75.07,-19.72,2018-11-17 06:37
74.76,-19.78,2018-11-17 06:42
74.69,-19.78,2018-11-17 06:47
74.82,-19.78,2018-11-17 06:52
75.05,-19.71,2018-11-17 06:57
75.24,-19.67,2018-11-17 07:02
75.04,-19.72,2018-11-17 07:07
74.73,-19.75,2018-11-17 07:12
74.67,-19.79,2018-11-17 07:17
74.82,-19.8,2018-11-17 07:22
75.02,-19.72,2018-11-17 07:28
75.18,-19.71,2018-11-17 07:33
74.91,-19.75,2018-11-17 07:38
74.67,-19.81,2018-11-17 07:43
74.72,-19.81,2018-11-17 07:48
74.89,-19.78,2018-11-17 07:53
75.12,-19.74,2018-11-17 07:58
75.22,-19.71,2018-11-17 08:03
74.95,-19.78,2018-11-17 08:08
74.71,-19.81,2018-11-17 08:13
74.73,-19.78,2018-11-17 08:18
74.92,-19.8,2018-11-17 08:23
75.18,-19.72,2018-11-17 08:28
75.34,-19.69,2018-11-17 08:33
75.05,-19.74,2018-11-17 08:38
74.79,-19.78,2018-11-17 08:43
74.8,-19.79,2018-11-17 08:48
74.95,-19.73,2018-11-17 08:53
75.16,-19.72,2018-11-17 08:58
75.27,-19.7,2018-11-17 09:03
74.95,-19.75,2018-11-17 09:08
74.78,-19.78,2018-11-17 09:13
74.79,-19.8,2018-11-17 09:18
74.97,-19.75,2018-11-17 09:23
75.19,-19.72,2018-11-17 09:29
75.15,-19.73,2018-11-17 09:34
74.84,-19.78,2018-11-17 09:39
74.72,-19.82,2018-11-17 09:44
74.8,-19.8,2018-11-17 09:49
