humidity,temp,time
74.32,-19.12,2018-11-23 00:02
73.12,-19.25,2018-11-23 00:07
73.51,-19.22,2018-11-23 00:12
74.31,-19.15,2018-11-23 00:17
74.93,-19.11,2018-11-23 00:23
73.93,-19.26,2018-11-23 00:28
73.17,-19.31,2018-11-23 00:33
73.85,-19.27,2018-11-23 00:38
74.68,-19.19,2018-11-23 00:43
75.06,-19.2,2018-11-23 00:48
73.66,-19.35,2018-11-23 00:53
73.44,-19.38,2018-11-23 00:58
74.15,-19.33,2018-11-23 01:03
74.89,-19.26,2018-11-23 01:08
74.84,-19.29,2018-11-23 01:13
73.4,-19.42,2018-11-23 01:18
73.6,-19.41,2018-11-23 01:23
74.4,-19.36,2018-11-23 01:28
75.08,-19.27,2018-11-23 01:33
74.49,-19.38,2018-11-23 01:38
73.3,-19.51,2018-11-23 01:43
73.68,-19.44,2018-11-23 01:48
74.46,-19.38,2018-11-23 01:53
75.14,-19.34,2018-11-23 01:58
74.21,-19.45,2018-11-23 02:03
73.28,-19.54,2018-11-23 02:08
73.78,-19.48,2018-11-23 02:13
74.6,-19.4,2018-11-23 02:19
75.15,-19.38,2018-11-23 02:24
73.92,-19.53,2018-11-23 02:29
73.3,-19.59,2018-11-23 02:34
73.93,-19.52,2018-11-23 02:39
74.74,-19.45,2018-11-23 02:44
75.15,-19.4,2018-11-23 02:49
73.85,-19.56,2018-11-23 02:54
73.35,-19.6,2018-11-23 02:59
74.01,-19.55,2018-11-23 03:04
74.79,-19.49,2018-11-23 03:09
75.12,-19.48,2018-11-23 03:14
73.73,-19.6,2018-11-23 03:19
73.54,-19.63,2018-11-23 03:24
74.2,-19.56,2018-11-23 03:29
74.99,-19.49,2018-11-23 03:34
74.98,-19.52,2018-11-23 03:39
73.59,-19.65,2018-11-23 03:44
73.57,-19.66,2018-11-23 03:49
74.31,-19.56,2018-11-23 03:54
75.1,-19.49,2018-11-23 03:59
74.9,-19.56,2018-11-23 04:04
73.56,-19.67,2018-11-23 04:09
73.7,-19.66,2018-11-23 04:14
74.44,-19.61,2018-11-23 04:19
75.21,-19.51,2018-11-23 04:24
74.76,-19.61,2018-11-23 04:29
73.5,-19.72,2018-11-23 04:35
73.76,-19.66,2018-11-23 04:40
74.53,-19.63,2018-11-23 04:45
75.24,-19.54,2018-11-23 04:50
74.63,-19.65,2018-11-23 04:55
73.49,-19.74,2018-11-23 05:00
73.83,-19.69,2018-11-23 05:05
74.6,-19.61,2018-11-23 05:10
75.32,-19.56,2018-11-23 05:15
74.63,-19.66,2018-11-23 05:20
73.52,-19.75,2018-11-23 05:25
73.88,-19.72,2018-11-23 05:30
74.67,-19.61,2018-11-23 05:35
75.36,-19.56,2018-11-23 05:40
74.54,-19.68,2018-11-23 05:45
73.52,-19.75,2018-11-23 05:50
73.93,-19.73,2018-11-23 05:55
74.69,-19.65,2018-11-23 06:00
75.39,-19.57,2018-11-23 06:05
74.43,-19.72,2018-11-23 06:10
73.55,-19.78,2018-11-23 06:15
74.03,-19.72,2018-11-23 06:20
74.82,-19.65,2018-11-23 06:25
75.43,-19.59,2018-11-23 06:30
74.37,-19.73,2018-11-23 06:35
73.52,-19.81,2018-11-23 06:41
74.05,-19.74,2018-11-23 06:46
74.82,-19.65,2018-11-23 06:51
75.44,-19.59,2018-11-23 06:56
74.38,-19.74,2018-11-23 07:01
73.55,-19.78,2018-11-23 07:06
74.07,-19.74,2018-11-23 07:11
74.85,-19.67,2018-11-23 07:16
75.44,-19.61,2018-11-23 07:21
74.3,-19.78,2018-11-23 07:26
73.54,-19.82,2018-11-23 07:31
74.08,-19.78,2018-11-23 07:36
74.83,-19.67,2018-11-23 07:41
75.44,-19.63,2018-11-23 07:46
74.33,-19.78,2018-11-23 07:51
73.58,-19.82,2018-11-23 07:56
75.34,-19.31,2018-11-23 10:38
74.81,-19.34,2018-11-23 10:43
75.25,-19.3,2018-11-23 10:48
76.29,-19.21,2018-11-23 10:53
77.12,-19.09,2018-11-23 10:58
76.93,-19.0,2018-11-23 11:03
77.14,-18.91,2018-11-23 11:08
77.43,-18.8,2018-11-23 11:13
77.19,-18.77,2018-11-23 11:18
76.66,-18.75,2018-11-23 11:23
77.24,-18.6,2018-11-23 11:28
77.55,-18.52,2018-11-23 11:33
76.17,-18.62,2018-11-23 11:38
75.51,-18.63,2018-11-23 11:44
76.13,-18.52,2018-11-23 11:49
76.85,-18.48,2018-11-23 11:54
75.67,-18.57,2018-11-23 11:59
75.3,-18.53,2018-11-23 12:04
75.78,-18.49,2018-11-23 12:09
75.63,-18.54,2018-11-23 12:14
74.25,-18.72,2018-11-23 12:19
74.3,-18.72,2018-11-23 12:24
75.05,-18.68,2018-11-23 12:29
75.05,-18.72,2018-11-23 12:34
73.73,-18.89,2018-11-23 12:39
74.23,-18.84,2018-11-23 12:44
75.14,-18.74,2018-11-23 12:49
75.88,-18.69,2018-11-23 12:54
74.86,-18.77,2018-11-23 12:59
74.92,-18.72,2018-11-23 13:04
76.33,-18.55,2018-11-23 13:09
77.38,-18.39,2018-11-23 13:14
77.16,-18.36,2018-11-23 13:19
76.33,-18.38,2018-11-23 13:24
76.36,-18.28,2018-11-23 13:29
76.91,-18.17,2018-11-23 13:34
76.67,-18.22,2018-11-23 13:39
75.98,-18.21,2018-11-23 13:45
76.88,-18.06,2018-11-23 13:50
78.01,-17.88,2018-11-23 13:55
78.69,-17.75,2018-11-23 14:00
78.92,-17.63,2018-11-23 14:05
79.07,-17.52,2018-11-23 14:10
78.96,-17.41,2018-11-23 14:15
77.39,-17.48,2018-11-23 14:20
76.08,-17.54,2018-11-23 14:25
76.17,-17.52,2018-11-23 14:30
76.53,-17.51,2018-11-23 14:35
75.28,-17.67,2018-11-23 14:40
74.89,-17.71,2018-11-23 14:45
75.42,-17.65,2018-11-23 14:50
75.34,-17.69,2018-11-23 14:55
73.92,-17.88,2018-11-23 15:00
73.9,-17.92,2018-11-23 15:05
74.55,-17.88,2018-11-23 15:10
75.16,-17.85,2018-11-23 15:15
74.66,-17.97,2018-11-23 15:21
74.51,-17.94,2018-11-23 15:26
75.28,-17.85,2018-11-23 15:31
77.4,-17.66,2018-11-23 15:36
76.64,-17.66,2018-11-23 15:41
75.97,-17.62,2018-11-23 15:46
76.18,-17.57,2018-11-23 15:51
75.53,-17.6,2018-11-23 15:56
74.24,-17.76,2018-11-23 16:01
74.38,-17.76,2018-11-23 16:06
74.95,-17.69,2018-11-23 16:11
74.23,-17.83,2018-11-23 16:16
73.28,-17.96,2018-11-23 16:21
73.77,-17.94,2018-11-23 16:26
74.45,-17.92,2018-11-23 16:31
74.05,-18.03,2018-11-23 16:36
72.9,-18.17,2018-11-23 16:41
73.35,-18.17,2018-11-23 16:46
74.82,-18.03,2018-11-23 16:51
75.57,-17.91,2018-11-23 16:56
75.2,-17.91,2018-11-23 17:01
75.56,-17.78,2018-11-23 17:06
76.37,-17.68,2018-11-23 17:11
75.48,-17.74,2018-11-23 17:16
74.4,-17.78,2018-11-23 17:22
75.53,-17.67,2018-11-23 17:27
76.61,-17.52,2018-11-23 17:32
75.85,-17.56,2018-11-23 17:37
