time,data
2018-11-23T00:02:51+08:00,87f8081d270d
2018-11-23T00:07:53+08:00,7af8901c270d
2018-11-23T00:12:57+08:00,7df8b71c270d
2018-11-23T00:17:59+08:00,84f8071d270d
2018-11-23T00:23:01+08:00,88f8451d270d
2018-11-23T00:28:02+08:00,79f8e11c270d
2018-11-23T00:33:07+08:00,74f8951c270d
2018-11-23T00:38:10+08:00,78f8d91c270d
2018-11-23T00:43:11+08:00,80f82c1d2a0d
2018-11-23T00:48:15+08:00,7ff8521d270d
2018-11-23T00:53:17+08:00,70f8c61c270d
2018-11-23T00:58:18+08:00,6df8b01c270d
2018-11-23T01:03:18+08:00,72f8f71c270d
2018-11-23T01:08:22+08:00,79f8411d2a0d
2018-11-23T01:13:25+08:00,76f83c1d270d
2018-11-23T01:18:26+08:00,69f8ac1c270d
2018-11-23T01:23:30+08:00,6af8c01c270d
2018-11-23T01:28:32+08:00,6ff8101d270d
2018-11-23T01:33:35+08:00,78f8541d2a0d
2018-11-23T01:38:37+08:00,6df8191d2a0d
2018-11-23T01:43:38+08:00,60f8a21c270d
2018-11-23T01:48:43+08:00,67f8c81c270d
2018-11-23T01:53:44+08:00,6df8161d2a0d
2018-11-23T01:58:47+08:00,71f85a1d270d
2018-11-23T02:03:51+08:00,66f8fd1c270d
2018-11-23T02:08:56+08:00,5df8a01c270d
2018-11-23T02:13:57+08:00,63f8d21c270d
2018-11-23T02:19:01+08:00,6bf8241d270d
2018-11-23T02:24:03+08:00,6df85b1d270d
2018-11-23T02:29:07+08:00,5ef8e01c270d
2018-11-23T02:34:11+08:00,58f8a21c270d
2018-11-23T02:39:14+08:00,5ff8e11c270d
2018-11-23T02:44:15+08:00,66f8321d270d
2018-11-23T02:49:16+08:00,6bf85b1d270d
2018-11-23T02:54:16+08:00,5bf8d91c270d
2018-11-23T02:59:18+08:00,57f8a71c270d
2018-11-23T03:04:21+08:00,5cf8e91c270d
2018-11-23T03:09:26+08:00,62f8371d270d
