time,data
2018-11-17T00:04:01+08:00,4ff8501d190d
2018-11-17T00:09:03+08:00,52f85b1d160d
2018-11-17T00:14:07+08:00,4cf8421d190d
2018-11-17T00:19:11+08:00,4af8271d190d
2018-11-17T00:24:12+08:00,48f82a1d220d
2018-11-17T00:29:16+08:00,4cf83c1d150d
2018-11-17T00:34:17+08:00,52f8511d190d
2018-11-17T00:39:17+08:00,51f8571d160d
2018-11-17T00:44:19+08:00,4af8381d160d
2018-11-17T00:49:20+08:00,49f8241d120d
2018-11-17T00:54:24+08:00,48f8271d1f0d
2018-11-17T00:59:28+08:00,4af8371d160d
2018-11-17T01:04:29+08:00,4ef84d1d190d
2018-11-17T01:09:33+08:00,4df8471d1f0d
2018-11-17T01:14:36+08:00,45f8271d190d
2018-11-17T01:19:37+08:00,45f81e1d1a0d
2018-11-17T01:24:42+08:00,45f82a1d190d
2018-11-17T01:29:46+08:00,48f8441d160d
2018-11-17T01:34:50+08:00,4df8561d190d
2018-11-17T01:39:54+08:00,4af8441d160d
2018-11-17T01:44:57+08:00,45f8251d1f0d
2018-11-17T01:49:58+08:00,43f8211d190d
2018-11-17T01:54:59+08:00,45f8341d160d
2018-11-17T02:00:04+08:00,48f84b1d220d
2018-11-17T02:05:07+08:00,50f85e1d220d
2018-11-17T02:10:10+08:00,4af84a1d190d
2018-11-17T02:15:11+08:00,48f82a1d190d
2018-11-17T02:20:16+08:00,44f8281d260d
2018-11-17T02:25:21+08:00,45f8371d220d
2018-11-17T02:30:22+08:00,4bf84c1d1f0d
2018-11-17T02:35:27+08:00,4ef85f1d1f0d
2018-11-17T02:40:28+08:00,4ff8511d1f0d
2018-11-17T02:45:30+08:00,48f8311d220d
2018-11-17T02:50:33+08:00,48f82e1d1a0d
2018-11-17T02:55:36+08:00,4af83b1d190d
2018-11-17T03:00:42+08:00,4cf8541d190d
2018-11-17T03:05:45+08:00,50f8641d1f0d
2018-11-17T03:10:50+08:00,4cf84a1d1f0d
2018-11-17T03:15:54+08:00,49f82f1d1f0d
2018-11-17T03:20:57+08:00,45f82b1d1f0d
2018-11-17T03:26:01+08:00,4af8391d160d
2018-11-17T03:31:03+08:00,4af8521d160d
2018-11-17T03:36:05+08:00,50f85b1d1f0d
2018-11-17T03:41:07+08:00,4bf83f1d1f0d
2018-11-17T03:46:10+08:00,45f8281d220d
2018-11-17T03:51:11+08:00,49f82a1d230d
2018-11-17T03:56:13+08:00,49f83f1d1f0d
2018-11-17T04:01:17+08:00,4cf8561d160d
2018-11-17T04:06:18+08:00,4df8591d1f0d
2018-11-17T04:11:20+08:00,4af8381d1f0d
2018-11-17T04:16:21+08:00,43f8271d1f0d
2018-11-17T04:21:23+08:00,48f82e1d1f0d
2018-11-17T04:26:24+08:00,4af8431d1f0d
2018-11-17T04:31:29+08:00,4ef85e1d160d
2018-11-17T04:36:32+08:00,4df85b1d260d
2018-11-17T04:41:36+08:00,4af8371d1a0d
2018-11-17T04:46:38+08:00,47f82a1d190d
2018-11-17T04:51:41+08:00,47f82e1d220d
2018-11-17T04:56:44+08:00,48f8441d190d
2018-11-17T05:01:45+08:00,4cf85c1d1f0d
2018-11-17T05:06:46+08:00,4bf8511d1f0d
2018-11-17T05:11:51+08:00,45f8301d190d
2018-11-17T05:16:53+08:00,45f8271d190d
2018-11-17T05:21:57+08:00,45f8341d220d
2018-11-17T05:26:58+08:00,49f8491d220d
2018-11-17T05:32:02+08:00,4ff8601d1a0d
2018-11-17T05:37:03+08:00,4bf8541d230d
2018-11-17T05:42:04+08:00,48f8331d160d
2018-11-17T05:47:08+08:00,45f82a1d220d
2018-11-17T05:52:11+08:00,45f8371d220d
2018-11-17T05:57:13+08:00,4af84a1d220d
2018-11-17T06:02:16+08:00,4df85e1d1f0d
2018-11-17T06:07:17+08:00,4af8471d1f0d
2018-11-17T06:12:21+08:00,43f8291d1f0d
2018-11-17T06:17:22+08:00,45f8251d1f0d
2018-11-17T06:22:27+08:00,44f8371d220d
