������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/11/27 Сʱ: 16,2018-11-27 16:04:01,2018-11-27 16:59:34,11.0,29.0,0.6206896551724138
2018/11/27 Сʱ: 17,2018-11-27 17:04:39,2018-11-27 17:55:12,10.0,26.0,0.6153846153846154
2018/11/27 Сʱ: 18,2018-11-27 18:00:16,2018-11-27 18:55:41,11.0,29.0,0.6206896551724138
2018/11/27 Сʱ: 19,2018-11-27 19:00:44,2018-11-27 19:56:10,12.0,29.0,0.5862068965517242
2018/11/27 Сʱ: 20,2018-11-27 20:01:12,2018-11-27 20:56:34,11.0,29.0,0.6206896551724138
2018/11/27 Сʱ: 21,2018-11-27 21:01:38,2018-11-27 21:57:10,12.0,29.0,0.5862068965517242
2018/11/27 Сʱ: 22,2018-11-27 22:02:10,2018-11-27 22:57:29,12.0,29.0,0.5862068965517242
2018/11/27 Сʱ: 23,2018-11-27 23:02:29,2018-11-27 23:52:56,11.0,26.0,0.5769230769230769
2018/11/28 Сʱ: 0,2018-11-28 00:02:57,2018-11-28 00:58:27,11.0,29.0,0.6206896551724138
2018/11/28 Сʱ: 1,2018-11-28 01:03:29,2018-11-28 01:58:58,11.0,29.0,0.6206896551724138
2018/11/28 Сʱ: 2,2018-11-28 02:04:03,2018-11-28 02:59:37,11.0,29.0,0.6206896551724138
2018/11/28 Сʱ: 3,2018-11-28 03:04:42,2018-11-28 03:55:11,10.0,26.0,0.6153846153846154
2018/11/28 Сʱ: 4,2018-11-28 04:00:16,2018-11-28 04:55:49,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 5,2018-11-28 05:00:52,2018-11-28 05:56:26,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 6,2018-11-28 06:01:31,2018-11-28 06:56:59,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 7,2018-11-28 07:02:02,2018-11-28 07:57:36,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 8,2018-11-28 08:02:38,2018-11-28 08:58:05,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 9,2018-11-28 09:03:06,2018-11-28 09:58:30,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 10,2018-11-28 10:03:35,2018-11-28 10:59:02,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 11,2018-11-28 11:04:04,2018-11-28 11:59:34,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 12,2018-11-28 12:04:38,2018-11-28 12:55:11,11.0,26.0,0.5769230769230769
2018/11/28 Сʱ: 13,2018-11-28 13:00:14,2018-11-28 13:55:43,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 14,2018-11-28 14:00:48,2018-11-28 14:56:21,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 15,2018-11-28 15:01:24,2018-11-28 15:56:53,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 16,2018-11-28 16:01:57,2018-11-28 16:57:25,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 17,2018-11-28 17:02:26,2018-11-28 17:57:58,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 18,2018-11-28 18:03:03,2018-11-28 18:58:36,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 19,2018-11-28 19:03:40,2018-11-28 19:59:03,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 20,2018-11-28 20:04:06,2018-11-28 20:59:27,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 21,2018-11-28 21:04:31,2018-11-28 21:54:59,11.0,26.0,0.5769230769230769
2018/11/28 Сʱ: 22,2018-11-28 22:00:01,2018-11-28 22:55:25,12.0,29.0,0.5862068965517242
2018/11/28 Сʱ: 23,2018-11-28 23:00:28,2018-11-28 23:55:56,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 0,2018-11-29 00:00:57,2018-11-29 00:56:26,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 1,2018-11-29 01:01:30,2018-11-29 01:57:04,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 2,2018-11-29 02:02:07,2018-11-29 02:57:37,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 3,2018-11-29 03:02:39,2018-11-29 03:53:08,10.0,26.0,0.6153846153846154
2018/11/29 Сʱ: 4,2018-11-29 04:03:14,2018-11-29 04:58:48,11.0,29.0,0.6206896551724138
2018/11/29 Сʱ: 5,2018-11-29 05:03:50,2018-11-29 05:59:26,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 6,2018-11-29 06:04:28,2018-11-29 06:55:03,11.0,26.0,0.5769230769230769
2018/11/29 Сʱ: 7,2018-11-29 07:00:05,2018-11-29 07:55:37,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 8,2018-11-29 08:00:38,2018-11-29 08:56:07,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 9,2018-11-29 09:01:11,2018-11-29 09:56:36,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 10,2018-11-29 10:01:39,2018-11-29 10:57:08,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 11,2018-11-29 11:02:12,2018-11-29 11:57:42,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 12,2018-11-29 12:02:47,2018-11-29 12:58:19,11.0,29.0,0.6206896551724138
2018/11/29 Сʱ: 13,2018-11-29 13:03:21,2018-11-29 13:58:51,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 14,2018-11-29 14:03:55,2018-11-29 14:59:33,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 15,2018-11-29 15:04:33,2018-11-29 15:59:51,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 16,2018-11-29 16:04:54,2018-11-29 16:55:22,11.0,26.0,0.5769230769230769
2018/11/29 Сʱ: 17,2018-11-29 17:00:23,2018-11-29 17:55:54,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 18,2018-11-29 18:00:55,2018-11-29 18:56:25,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 19,2018-11-29 19:01:28,2018-11-29 19:57:02,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 20,2018-11-29 20:02:06,2018-11-29 20:57:34,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 21,2018-11-29 21:02:35,2018-11-29 21:58:08,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 22,2018-11-29 22:03:12,2018-11-29 22:58:33,12.0,29.0,0.5862068965517242
2018/11/29 Сʱ: 23,2018-11-29 23:03:38,2018-11-29 23:59:04,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 0,2018-11-30 00:04:05,2018-11-30 00:59:37,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 1,2018-11-30 01:04:41,2018-11-30 01:55:11,11.0,26.0,0.5769230769230769
2018/11/30 Сʱ: 2,2018-11-30 02:00:11,2018-11-30 02:55:49,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 3,2018-11-30 03:00:49,2018-11-30 03:56:24,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 4,2018-11-30 04:01:28,2018-11-30 04:56:58,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 5,2018-11-30 05:01:59,2018-11-30 05:57:34,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 6,2018-11-30 06:02:36,2018-11-30 06:58:02,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 7,2018-11-30 07:03:06,2018-11-30 07:58:38,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 8,2018-11-30 08:03:40,2018-11-30 08:59:06,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 9,2018-11-30 09:04:08,2018-11-30 09:59:25,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 10,2018-11-30 10:04:28,2018-11-30 10:59:59,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 11,2018-11-30 11:05:04,2018-11-30 11:55:36,11.0,26.0,0.5769230769230769
2018/11/30 Сʱ: 12,2018-11-30 12:00:37,2018-11-30 12:56:06,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 13,2018-11-30 13:01:09,2018-11-30 13:56:37,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 14,2018-11-30 14:01:37,2018-11-30 14:57:05,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 15,2018-11-30 15:02:06,2018-11-30 15:57:39,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 16,2018-11-30 16:02:41,2018-11-30 16:58:08,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 17,2018-11-30 17:03:11,2018-11-30 17:58:44,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 18,2018-11-30 18:03:49,2018-11-30 18:59:18,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 19,2018-11-30 19:04:23,2018-11-30 19:59:52,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 20,2018-11-30 20:04:55,2018-11-30 20:55:19,10.0,26.0,0.6153846153846154
2018/11/30 Сʱ: 21,2018-11-30 21:00:23,2018-11-30 21:55:58,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 22,2018-11-30 22:01:02,2018-11-30 22:56:34,12.0,29.0,0.5862068965517242
2018/11/30 Сʱ: 23,2018-11-30 23:01:35,2018-11-30 23:57:06,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 0,2018-12-01 00:02:11,2018-12-01 00:57:45,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 1,2018-12-01 01:02:47,2018-12-01 01:58:21,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 2,2018-12-01 02:03:24,2018-12-01 02:58:47,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 3,2018-12-01 03:03:48,2018-12-01 03:54:17,11.0,26.0,0.5769230769230769
2018/12/1 Сʱ: 4,2018-12-01 04:04:21,2018-12-01 04:59:40,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 5,2018-12-01 05:09:49,2018-12-01 05:55:09,10.0,24.0,0.5833333333333333
2018/12/1 Сʱ: 6,2018-12-01 06:00:11,2018-12-01 06:55:32,11.0,29.0,0.6206896551724138
2018/12/1 Сʱ: 7,2018-12-01 07:00:34,2018-12-01 07:56:02,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 8,2018-12-01 08:01:05,2018-12-01 08:56:35,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 9,2018-12-01 09:01:37,2018-12-01 09:57:10,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 10,2018-12-01 10:02:12,2018-12-01 10:57:48,9.0,29.0,0.6896551724137931
2018/12/1 Сʱ: 11,2018-12-01 11:02:52,2018-12-01 11:58:31,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 12,2018-12-01 12:03:36,2018-12-01 12:59:07,12.0,29.0,0.5862068965517242
2018/12/1 Сʱ: 13,2018-12-01 13:04:10,2018-12-01 13:59:41,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 14,2018-12-01 14:04:43,2018-12-01 14:55:07,11.0,26.0,0.5769230769230769
