������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/11/29 Сʱ: 0,2018-11-29 00:02:00,2018-11-29 00:56:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 1,2018-11-29 01:02:00,2018-11-29 01:59:00,11.0,30.0,0.6333333333333333
2018/11/29 Сʱ: 2,2018-11-29 02:04:00,2018-11-29 02:53:00,9.0,26.0,0.6538461538461539
2018/11/29 Сʱ: 3,2018-11-29 03:00:00,2018-11-29 03:58:00,11.0,30.0,0.6333333333333333
2018/11/29 Сʱ: 4,2018-11-29 04:03:00,2018-11-29 04:54:00,9.0,27.0,0.6666666666666667
2018/11/29 Сʱ: 5,2018-11-29 05:01:00,2018-11-29 05:58:00,10.0,30.0,0.6666666666666667
2018/11/29 Сʱ: 6,2018-11-29 06:04:00,2018-11-29 06:59:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 7,2018-11-29 07:06:00,2018-11-29 07:55:00,9.0,26.0,0.6538461538461539
2018/11/29 Сʱ: 8,2018-11-29 08:02:00,2018-11-29 08:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 9,2018-11-29 09:03:00,2018-11-29 09:55:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 10,2018-11-29 10:01:00,2018-11-29 10:59:00,9.0,30.0,0.7
2018/11/29 Сʱ: 11,2018-11-29 11:06:00,2018-11-29 11:54:00,9.0,25.0,0.64
2018/11/29 Сʱ: 12,2018-11-29 12:00:00,2018-11-29 12:53:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 13,2018-11-29 13:00:00,2018-11-29 13:55:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 14,2018-11-29 14:01:00,2018-11-29 14:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 15,2018-11-29 15:03:00,2018-11-29 15:56:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 16,2018-11-29 16:02:00,2018-11-29 16:56:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 17,2018-11-29 17:01:00,2018-11-29 17:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 18,2018-11-29 18:03:00,2018-11-29 18:56:00,10.0,28.0,0.6428571428571428
2018/11/29 Сʱ: 19,2018-11-29 19:03:00,2018-11-29 19:55:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 20,2018-11-29 20:01:00,2018-11-29 20:57:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 21,2018-11-29 21:03:00,2018-11-29 21:54:00,10.0,27.0,0.6296296296296297
2018/11/29 Сʱ: 22,2018-11-29 22:00:00,2018-11-29 22:55:00,10.0,29.0,0.6551724137931034
2018/11/29 Сʱ: 23,2018-11-29 23:02:00,2018-11-29 23:56:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 0,2018-11-30 00:01:00,2018-11-30 00:55:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 1,2018-11-30 01:01:00,2018-11-30 01:55:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 2,2018-11-30 02:00:00,2018-11-30 02:54:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 3,2018-11-30 03:01:00,2018-11-30 03:56:00,11.0,29.0,0.6206896551724138
2018/11/30 Сʱ: 4,2018-11-30 04:01:00,2018-11-30 04:58:00,10.0,30.0,0.6666666666666667
2018/11/30 Сʱ: 5,2018-11-30 05:05:00,2018-11-30 05:56:00,9.0,27.0,0.6666666666666667
2018/11/30 Сʱ: 6,2018-11-30 06:01:00,2018-11-30 06:55:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 7,2018-11-30 07:01:00,2018-11-30 07:56:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 8,2018-11-30 08:02:00,2018-11-30 08:58:00,10.0,29.0,0.6551724137931034
2018/11/30 Сʱ: 9,2018-11-30 09:05:00,2018-11-30 09:59:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 10,2018-11-30 10:04:00,2018-11-30 10:57:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 11,2018-11-30 11:03:00,2018-11-30 11:55:00,10.0,27.0,0.6296296296296297
2018/11/30 Сʱ: 12,2018-11-30 12:01:00,2018-11-30 12:58:00,11.0,30.0,0.6333333333333333
2018/11/30 Сʱ: 13,2018-11-30 13:04:00,2018-11-30 13:55:00,9.0,27.0,0.6666666666666667
2018/11/30 Сʱ: 14,2018-11-30 14:01:00,2018-11-30 14:58:00,11.0,30.0,0.6333333333333333
2018/11/30 Сʱ: 15,2018-11-30 15:05:00,2018-11-30 15:57:00,10.0,27.0,0.6296296296296297
2018/11/30 Сʱ: 16,2018-11-30 16:02:00,2018-11-30 16:59:00,11.0,30.0,0.6333333333333333
2018/11/30 Сʱ: 17,2018-11-30 17:04:00,2018-11-30 17:56:00,10.0,27.0,0.6296296296296297
2018/11/30 Сʱ: 18,2018-11-30 18:01:00,2018-11-30 18:58:00,10.0,30.0,0.6666666666666667
2018/11/30 Сʱ: 19,2018-11-30 19:04:00,2018-11-30 19:58:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 20,2018-11-30 20:04:00,2018-11-30 20:53:00,9.0,26.0,0.6538461538461539
2018/11/30 Сʱ: 21,2018-11-30 21:00:00,2018-11-30 21:59:00,11.0,31.0,0.6451612903225806
2018/11/30 Сʱ: 22,2018-11-30 22:05:00,2018-11-30 22:59:00,10.0,28.0,0.6428571428571428
2018/11/30 Сʱ: 23,2018-11-30 23:04:00,2018-11-30 23:56:00,9.0,27.0,0.6666666666666667
2018/12/1 Сʱ: 0,2018-12-01 00:01:00,2018-12-01 00:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 1,2018-12-01 01:00:00,2018-12-01 01:56:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 2,2018-12-01 02:03:00,2018-12-01 02:57:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 3,2018-12-01 03:03:00,2018-12-01 03:56:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 4,2018-12-01 04:01:00,2018-12-01 04:55:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 5,2018-12-01 05:01:00,2018-12-01 05:59:00,11.0,30.0,0.6333333333333333
2018/12/1 Сʱ: 6,2018-12-01 06:06:00,2018-12-01 06:55:00,9.0,26.0,0.6538461538461539
2018/12/1 Сʱ: 7,2018-12-01 07:02:00,2018-12-01 07:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 8,2018-12-01 08:03:00,2018-12-01 08:57:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 9,2018-12-01 09:02:00,2018-12-01 09:57:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 10,2018-12-01 10:02:00,2018-12-01 10:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 11,2018-12-01 11:04:00,2018-12-01 11:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 12,2018-12-01 12:04:00,2018-12-01 12:58:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 13,2018-12-01 13:03:00,2018-12-01 13:55:00,10.0,27.0,0.6296296296296297
2018/12/1 Сʱ: 14,2018-12-01 14:02:00,2018-12-01 14:54:00,10.0,27.0,0.6296296296296297
2018/12/1 Сʱ: 15,2018-12-01 15:00:00,2018-12-01 15:59:00,11.0,31.0,0.6451612903225806
2018/12/1 Сʱ: 16,2018-12-01 16:06:00,2018-12-01 16:54:00,9.0,25.0,0.64
2018/12/1 Сʱ: 17,2018-12-01 17:00:00,2018-12-01 17:54:00,10.0,28.0,0.6428571428571428
2018/12/1 Сʱ: 18,2018-12-01 18:00:00,2018-12-01 18:55:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 19,2018-12-01 19:01:00,2018-12-01 19:59:00,11.0,30.0,0.6333333333333333
2018/12/1 Сʱ: 20,2018-12-01 20:04:00,2018-12-01 20:55:00,9.0,27.0,0.6666666666666667
2018/12/1 Сʱ: 21,2018-12-01 21:01:00,2018-12-01 21:56:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 22,2018-12-01 22:03:00,2018-12-01 22:58:00,10.0,29.0,0.6551724137931034
2018/12/1 Сʱ: 23,2018-12-01 23:03:00,2018-12-01 23:58:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 0,2018-12-02 00:04:00,2018-12-02 00:59:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 1,2018-12-02 01:06:00,2018-12-02 01:59:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 2,2018-12-02 02:05:00,2018-12-02 02:54:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 3,2018-12-02 03:01:00,2018-12-02 03:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 4,2018-12-02 04:02:00,2018-12-02 04:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 5,2018-12-02 05:01:00,2018-12-02 05:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 6,2018-12-02 06:02:00,2018-12-02 06:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 7,2018-12-02 07:02:00,2018-12-02 07:58:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 8,2018-12-02 08:05:00,2018-12-02 08:56:00,10.0,27.0,0.6296296296296297
2018/12/2 Сʱ: 9,2018-12-02 09:02:00,2018-12-02 09:59:00,11.0,30.0,0.6333333333333333
2018/12/2 Сʱ: 10,2018-12-02 10:06:00,2018-12-02 10:55:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 11,2018-12-02 11:01:00,2018-12-02 11:58:00,11.0,30.0,0.6333333333333333
2018/12/2 Сʱ: 12,2018-12-02 12:05:00,2018-12-02 12:54:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 13,2018-12-02 13:01:00,2018-12-02 13:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 14,2018-12-02 14:04:00,2018-12-02 14:58:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 15,2018-12-02 15:04:00,2018-12-02 15:59:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 16,2018-12-02 16:05:00,2018-12-02 16:55:00,9.0,26.0,0.6538461538461539
2018/12/2 Сʱ: 17,2018-12-02 17:00:00,2018-12-02 17:55:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 18,2018-12-02 18:01:00,2018-12-02 18:56:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 19,2018-12-02 19:02:00,2018-12-02 19:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 20,2018-12-02 20:01:00,2018-12-02 20:55:00,10.0,28.0,0.6428571428571428
2018/12/2 Сʱ: 21,2018-12-02 21:01:00,2018-12-02 21:57:00,10.0,29.0,0.6551724137931034
2018/12/2 Сʱ: 22,2018-12-02 22:03:00,2018-12-02 22:54:00,10.0,27.0,0.6296296296296297
2018/12/2 Сʱ: 23,2018-12-02 23:00:00,2018-12-02 23:58:00,11.0,30.0,0.6333333333333333
2018/12/3 Сʱ: 0,2018-12-03 00:05:00,2018-12-03 00:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 1,2018-12-03 01:05:00,2018-12-03 01:59:00,10.0,28.0,0.6428571428571428
2018/12/3 Сʱ: 2,2018-12-03 02:05:00,2018-12-03 02:59:00,10.0,28.0,0.6428571428571428
