humidity,temp,time
72.64,-16.92,2018-11-29 00:01
73.16,-16.93,2018-11-29 00:06
73.55,-16.94,2018-11-29 00:11
72.94,-17.05,2018-11-29 00:17
72.6,-17.09,2018-11-29 00:22
72.94,-17.12,2018-11-29 00:27
73.44,-17.12,2018-11-29 00:32
73.21,-17.19,2018-11-29 00:37
72.6,-17.27,2018-11-29 00:42
72.77,-17.29,2018-11-29 00:47
73.22,-17.26,2018-11-29 00:52
73.51,-17.3,2018-11-29 00:57
72.86,-17.39,2018-11-29 01:02
72.62,-17.41,2018-11-29 01:07
72.99,-17.42,2018-11-29 01:12
73.44,-17.39,2018-11-29 01:17
73.32,-17.48,2018-11-29 01:22
72.65,-17.51,2018-11-29 01:27
72.76,-17.56,2018-11-29 01:32
73.18,-17.52,2018-11-29 01:37
73.5,-17.53,2018-11-29 01:42
72.96,-17.62,2018-11-29 01:47
72.64,-17.66,2018-11-29 01:52
72.93,-17.63,2018-11-29 01:57
73.32,-17.62,2018-11-29 02:03
73.31,-17.64,2018-11-29 02:08
72.66,-17.73,2018-11-29 02:13
72.7,-17.72,2018-11-29 02:18
73.08,-17.71,2018-11-29 02:23
73.43,-17.69,2018-11-29 02:28
73.04,-17.74,2018-11-29 02:33
72.63,-17.78,2018-11-29 02:38
72.87,-17.78,2018-11-29 02:43
73.28,-17.78,2018-11-29 02:48
73.48,-17.76,2018-11-29 02:53
72.85,-17.85,2018-11-29 02:58
72.57,-17.86,2018-11-29 03:03
72.86,-17.83,2018-11-29 03:08
73.25,-17.82,2018-11-29 03:13
73.34,-17.83,2018-11-29 03:18
72.65,-17.89,2018-11-29 03:23
72.57,-17.91,2018-11-29 03:28
72.89,-17.89,2018-11-29 03:33
73.25,-17.88,2018-11-29 03:38
73.16,-17.9,2018-11-29 03:43
72.49,-17.97,2018-11-29 03:48
72.55,-17.95,2018-11-29 03:53
72.9,-17.95,2018-11-29 03:59
73.28,-17.91,2018-11-29 04:04
72.96,-17.97,2018-11-29 04:09
72.42,-18.01,2018-11-29 04:14
72.55,-18.01,2018-11-29 04:19
72.89,-17.98,2018-11-29 04:24
73.25,-17.96,2018-11-29 04:29
72.8,-18.01,2018-11-29 04:34
72.35,-18.08,2018-11-29 04:39
72.54,-18.04,2018-11-29 04:44
72.91,-18.02,2018-11-29 04:49
73.18,-17.98,2018-11-29 04:54
72.64,-18.06,2018-11-29 04:59
72.31,-18.09,2018-11-29 05:04
72.56,-18.09,2018-11-29 05:09
72.96,-18.06,2018-11-29 05:14
73.11,-18.04,2018-11-29 05:19
72.46,-18.08,2018-11-29 05:24
72.32,-18.09,2018-11-29 05:29
72.6,-18.09,2018-11-29 05:34
73.0,-18.08,2018-11-29 05:39
72.98,-18.06,2018-11-29 05:44
72.31,-18.11,2018-11-29 05:49
72.3,-18.11,2018-11-29 05:54
72.62,-18.13,2018-11-29 06:00
73.01,-18.09,2018-11-29 06:05
72.83,-18.15,2018-11-29 06:10
72.22,-18.18,2018-11-29 06:15
72.3,-18.15,2018-11-29 06:20
72.63,-18.15,2018-11-29 06:25
73.01,-18.09,2018-11-29 06:30
72.76,-18.15,2018-11-29 06:35
72.16,-18.17,2018-11-29 06:40
72.29,-18.17,2018-11-29 06:45
72.65,-18.17,2018-11-29 06:50
73.01,-18.09,2018-11-29 06:55
72.59,-18.18,2018-11-29 07:00
72.11,-18.2,2018-11-29 07:05
72.28,-18.2,2018-11-29 07:10
72.65,-18.17,2018-11-29 07:15
72.99,-18.13,2018-11-29 07:20
72.51,-18.19,2018-11-29 07:25
72.06,-18.21,2018-11-29 07:30
72.29,-18.19,2018-11-29 07:35
72.67,-18.15,2018-11-29 07:40
72.9,-18.15,2018-11-29 07:45
72.26,-18.22,2018-11-29 07:50
72.04,-18.23,2018-11-29 07:55
72.31,-18.2,2018-11-29 08:00
72.7,-18.18,2018-11-29 08:05
72.86,-18.2,2018-11-29 08:11
72.11,-18.24,2018-11-29 08:16
71.97,-18.23,2018-11-29 08:21
72.31,-18.25,2018-11-29 08:26
72.73,-18.17,2018-11-29 08:31
72.83,-18.19,2018-11-29 08:36
72.11,-18.25,2018-11-29 08:41
71.99,-18.25,2018-11-29 08:46
72.32,-18.23,2018-11-29 08:51
72.74,-18.19,2018-11-29 08:56
72.73,-18.21,2018-11-29 09:01
72.04,-18.25,2018-11-29 09:06
72.04,-18.25,2018-11-29 09:11
72.36,-18.24,2018-11-29 09:16
73.75,-17.89,2018-11-29 09:21
77.74,-17.83,2018-11-29 09:26
77.65,-17.82,2018-11-29 09:31
76.81,-17.75,2018-11-29 09:36
76.08,-17.66,2018-11-29 09:41
