time,data
2018-11-29T00:01:57+08:00,63f9601c490d
2018-11-29T00:06:58+08:00,62f9941c490d
2018-11-29T00:11:58+08:00,61f9bb1c3c0d
2018-11-29T00:17:01+08:00,56f97e1c3c0d
2018-11-29T00:22:03+08:00,52f95c1c3c0d
2018-11-29T00:27:05+08:00,4ff97e1c3c0d
2018-11-29T00:32:09+08:00,4ff9b01c3c0d
2018-11-29T00:37:14+08:00,48f9991c3c0d
2018-11-29T00:42:15+08:00,40f95c1c3c0d
2018-11-29T00:47:20+08:00,3ef96d1c370d
2018-11-29T00:52:23+08:00,41f99a1c370d
2018-11-29T00:57:25+08:00,3df9b71c330d
2018-11-29T01:02:26+08:00,34f9761c490d
2018-11-29T01:07:28+08:00,32f95e1c370d
2018-11-29T01:12:30+08:00,31f9831c330d
2018-11-29T01:17:32+08:00,34f9b01c370d
2018-11-29T01:22:35+08:00,2bf9a41c330d
2018-11-29T01:27:40+08:00,28f9611c370d
2018-11-29T01:32:45+08:00,23f96c1c3c0d
2018-11-29T01:37:48+08:00,27f9961c3c0d
2018-11-29T01:42:53+08:00,26f9b61c330d
2018-11-29T01:47:54+08:00,1df9801c330d
2018-11-29T01:52:56+08:00,19f9601c330d
2018-11-29T01:57:58+08:00,1cf97d1c330d
2018-11-29T02:03:03+08:00,1df9a41c370d
2018-11-29T02:08:08+08:00,1bf9a31c330d
2018-11-29T02:13:12+08:00,12f9621c2a0d
2018-11-29T02:18:14+08:00,13f9661c330d
2018-11-29T02:23:15+08:00,14f98c1c2f0d
2018-11-29T02:28:19+08:00,16f9af1c330d
2018-11-29T02:33:24+08:00,11f9881c2f0d
2018-11-29T02:38:28+08:00,0df95f1c370d
2018-11-29T02:43:31+08:00,0df9771c2a0d
2018-11-29T02:48:32+08:00,0df9a01c330d
2018-11-29T02:53:34+08:00,0ff9b41c330d
2018-11-29T02:58:36+08:00,06f9751c370d
2018-11-29T03:03:40+08:00,05f9591c330d
2018-11-29T03:08:42+08:00,08f9761c330d
2018-11-29T03:13:42+08:00,09f99d1c2a0d
2018-11-29T03:18:45+08:00,08f9a61c330d
2018-11-29T03:23:45+08:00,02f9611c2f0d
2018-11-29T03:28:48+08:00,00f9591c2a0d
2018-11-29T03:33:52+08:00,02f9791c2a0d
2018-11-29T03:38:53+08:00,03f99d1c370d
2018-11-29T03:43:57+08:00,01f9941c330d
2018-11-29T03:48:58+08:00,faf8511c2a0d
2018-11-29T03:53:59+08:00,fcf8571c370d
2018-11-29T03:59:03+08:00,fcf87a1c2a0d
2018-11-29T04:04:06+08:00,00f9a01c2a0d
2018-11-29T04:09:07+08:00,faf8801c2a0d
2018-11-29T04:14:08+08:00,f6f84a1c330d
2018-11-29T04:19:11+08:00,f6f8571c2a0d
2018-11-29T04:24:15+08:00,f9f8791c2a0d
2018-11-29T04:29:15+08:00,fbf89d1c2a0d
2018-11-29T04:34:17+08:00,f6f8701c2a0d
2018-11-29T04:39:21+08:00,eff8431c2f0d
2018-11-29T04:44:24+08:00,f3f8561c2a0d
2018-11-29T04:49:24+08:00,f5f87b1c2a0d
2018-11-29T04:54:25+08:00,f9f8961c2a0d
2018-11-29T04:59:27+08:00,f1f8601c2a0d
2018-11-29T05:04:31+08:00,eef83f1c2a0d
2018-11-29T05:09:32+08:00,eef8581c2a0d
2018-11-29T05:14:36+08:00,f1f8801c2a0d
2018-11-29T05:19:37+08:00,f3f88f1c2a0d
2018-11-29T05:24:40+08:00,eff84e1c2a0d
2018-11-29T05:29:45+08:00,eef8401c2a0d
2018-11-29T05:34:46+08:00,eef85c1c2a0d
2018-11-29T05:39:51+08:00,eff8841c2a0d
2018-11-29T05:44:51+08:00,f1f8821c2a0d
2018-11-29T05:49:54+08:00,ecf83f1c2a0d
2018-11-29T05:54:59+08:00,ecf83e1c2f0d
2018-11-29T06:00:01+08:00,eaf85e1c2a0d
2018-11-29T06:05:04+08:00,eef8851c2f0d
2018-11-29T06:10:06+08:00,e8f8731c330d
2018-11-29T06:15:07+08:00,e5f8361c2a0d
2018-11-29T06:20:11+08:00,e8f83e1c2a0d
2018-11-29T06:25:12+08:00,e8f85f1c2a0d
2018-11-29T06:30:13+08:00,eef8851c2a0d
2018-11-29T06:35:15+08:00,e8f86c1c2a0d
2018-11-29T06:40:18+08:00,e6f8301c2a0d
2018-11-29T06:45:21+08:00,e6f83d1c2a0d
2018-11-29T06:50:24+08:00,e6f8611c2a0d
2018-11-29T06:55:25+08:00,eef8851c2a0d
2018-11-29T07:00:28+08:00,e5f85b1c2a0d
2018-11-29T07:05:32+08:00,e3f82b1c2f0d
2018-11-29T07:10:33+08:00,e3f83c1c2a0d
2018-11-29T07:15:34+08:00,e6f8611c330d
2018-11-29T07:20:34+08:00,eaf8831c270d
2018-11-29T07:25:36+08:00,e4f8531c2a0d
2018-11-29T07:30:40+08:00,e2f8261c2a0d
2018-11-29T07:35:45+08:00,e4f83d1c2a0d
2018-11-29T07:40:46+08:00,e8f8631c2f0d
2018-11-29T07:45:48+08:00,e8f87a1c370d
2018-11-29T07:50:53+08:00,e1f83a1c2a0d
2018-11-29T07:55:56+08:00,e0f8241c2a0d
2018-11-29T08:00:57+08:00,e3f83f1c270d
2018-11-29T08:05:57+08:00,e5f8661c2a0d
2018-11-29T08:11:02+08:00,e3f8761c270d
2018-11-29T08:16:06+08:00,dff82b1c2a0d
2018-11-29T08:21:08+08:00,e0f81d1c2a0d
2018-11-29T08:26:09+08:00,def83f1c2f0d
