,0
0,4.4
1,4.5
2,4.6
3,4.7
4,4.8
5,4.9
6,4.1
7,3.6999998
8,3.3
9,3.0
10,2.4
11,2.2
12,2.0
13,1.8
14,1.6
15,1.5
16,1.3
17,1.2
18,1.6
19,2.1
20,2.5
21,2.8
22,3.0
23,3.3
24,3.6
25,3.7999997
26,3.9
27,4.0
28,4.1
29,4.3
30,4.5
31,4.6
32,4.7
33,4.8
34,4.9
35,4.7
36,3.9
37,3.5
38,3.2
39,2.8
40,2.6
41,2.3
42,2.1
43,1.8999999
44,1.7
45,1.6
46,1.4
47,1.2
48,1.4
49,2.0
50,2.4
51,2.7
52,3.0
53,3.2
54,3.4
55,3.6
56,3.7999997
57,3.9
58,3.9
59,4.1
60,4.2
61,4.3
62,4.4
63,4.5
64,4.6
65,4.7
66,4.8
67,4.9
68,4.5
69,3.9
70,3.4
71,3.1
72,2.7
73,2.5
74,2.2
75,2.0
76,1.8
77,1.6
78,1.5
79,1.3
80,1.2
81,1.8999999
82,2.3
83,2.6
84,2.9
85,3.2
86,3.3
87,3.5
88,3.6999998
89,3.9
90,3.9
91,4.0
92,4.1
93,4.3
94,4.4
95,4.5
96,4.6
97,4.7
98,4.8
99,4.8
100,4.9
101,4.2
102,3.6999998
103,3.3
104,2.9
105,2.6
106,2.3
107,2.2
108,2.8
109,3.2
110,3.5
111,3.7999997
112,3.9
113,4.0
114,4.2
115,3.6999998
116,3.2
117,2.8
118,2.5
119,2.2
120,2.0
121,1.7
122,1.6
123,1.4
124,1.2
125,1.7
126,2.2
127,2.6
128,2.8
129,3.1
130,3.5
131,3.6
132,3.7999997
133,3.9
134,3.9
135,4.1
136,4.2
137,4.3
138,4.4
139,4.5
140,4.6
141,4.7
142,4.8
143,4.9
144,4.8
145,4.0
146,3.6
147,3.2
148,2.8
149,2.5
150,2.3
151,2.0
152,1.8
153,1.6
154,1.5
155,1.3
156,1.3
157,1.8999999
158,2.3
159,2.7
160,2.9
161,3.2
162,3.4
163,3.5
164,3.6999998
165,3.9
166,3.9
167,4.0
168,4.2
169,4.3
170,4.4
171,3.7999997
172,3.3
173,2.9
174,2.6
175,2.4
176,2.2
177,2.3
178,2.2
179,2.6
180,2.2
181,1.8999999
182,1.6
183,1.4
184,1.1
185,1.6
186,2.2
187,3.3
188,3.5
189,3.9
190,4.5
191,4.5
192,4.3
193,3.9
194,3.5
195,3.1
196,2.7
197,2.4
198,2.6
199,2.9
200,2.9
201,2.5
202,2.2
203,1.8999999
204,2.5
205,2.4
206,2.3
207,2.6
208,2.4
209,1.6
210,1.3
211,1.1
212,1.0
213,1.7
214,2.1
215,2.4
216,2.7
217,3.1
218,3.4
219,3.6
220,3.9
221,3.9
222,4.1
223,4.3
224,4.4
225,4.6
226,4.7
227,4.8
228,4.9
229,4.2
230,3.6999998
231,3.3
232,3.0
233,2.7
234,2.5
235,2.3
236,2.1
237,1.8999999
238,1.7
239,1.6
240,1.4
241,1.3
242,1.7
243,2.3
244,2.6
245,3.0
246,3.2
247,3.4
248,3.6999998
249,3.9
250,3.9
251,4.1
252,4.4
253,4.5
254,4.6
255,4.7
256,4.8
257,4.9
258,4.3
259,3.9
260,3.6
261,3.3
262,3.6
263,4.3
264,4.5
265,5.0
266,5.1
267,5.5
268,5.8
269,5.2
270,4.7
271,4.3
272,4.2
273,3.5
274,3.2
275,3.2
276,3.9
277,3.4
278,3.0
279,2.7
280,2.5
281,2.5
282,2.8
283,2.4
284,2.6
285,2.4
286,2.3
287,2.0
288,2.4
289,2.0
290,1.8
291,1.6
292,1.4
293,1.4
294,1.4
295,1.6
296,2.2
297,2.3
298,2.5
299,3.0
300,2.8
301,2.5
302,2.3
303,2.1
304,2.0
305,2.0
306,2.0
307,2.3
308,2.1
309,1.8999999
310,2.0
311,1.8
312,1.6
313,1.5
314,1.3
315,1.2
316,1.1
317,1.6
318,1.6
319,2.0
320,2.0
321,1.6
322,1.4
323,1.2
324,1.0
325,1.0
326,0.8
327,0.7
328,0.6
329,0.5
330,0.4
331,1.0
332,1.6
333,2.0
334,2.3
335,2.6
336,2.8
337,3.2
338,3.6
339,3.9
340,4.1
341,4.3
342,4.5
343,4.7
344,4.8
345,5.0
346,5.1
347,4.8
348,4.3
349,3.9
350,3.5
351,3.2
352,3.0
353,2.8
354,2.6
355,2.5
356,2.3
357,2.2
358,2.0
359,1.8999999
360,1.8
361,1.7
362,1.6
363,1.4
364,1.3
365,1.2
366,1.6
367,2.2
368,2.6
369,3.0
370,3.3
371,3.5
372,3.7999997
373,3.9
374,4.1
375,4.3
376,4.4
377,4.5
378,4.7
379,4.8
380,4.8
381,4.1
382,3.6999998
383,3.3
384,3.0
385,2.8
386,2.6
387,2.4
388,2.2
389,2.0
390,1.8999999
391,1.7
392,1.6
393,1.5
394,1.4
395,1.7
396,2.3
397,2.7
398,3.0
399,3.3
400,3.5
401,3.7999997
402,3.9
403,4.0
404,4.2
405,4.2
406,3.6999998
407,3.2
408,2.9
409,2.6
410,2.4
411,2.2
412,2.0
413,1.8
414,1.6
415,1.5
416,1.4
417,1.2
418,1.5
419,2.1
420,2.5
421,2.9
422,3.2
423,3.4
424,3.6
425,3.7999997
426,3.9
427,4.2
428,4.3
429,4.4
430,4.5
431,4.7
432,4.8
433,4.8
434,4.9
435,4.2
436,3.7999997
437,3.4
438,3.1
439,2.8
440,2.6
441,2.4
442,2.2
443,2.0
444,1.8
445,1.7
446,2.2
447,2.2
448,2.0
449,1.8999999
450,1.7
451,1.5
452,1.4
453,1.2
454,1.1
455,1.3
456,2.0
457,2.4
458,2.8
459,3.2
460,3.4
461,3.6999998
462,3.9
463,3.9
464,4.2
465,4.3
466,4.5
467,4.6
468,4.7
469,4.8
470,4.9
471,4.3
472,3.9
473,3.5
474,3.2
475,2.9
476,2.7
477,2.5
478,2.3
479,2.2
480,2.0
481,1.8
482,1.6
483,1.5
484,1.4
485,1.3
486,1.5
487,2.1
488,2.5
489,2.9
490,3.2
491,3.4
492,3.6999998
493,3.9
494,3.9
495,4.1
496,4.3
497,4.4
498,4.5
499,4.6
500,4.7
501,4.8
502,4.9
503,5.0
504,5.1
505,5.2
506,5.3
507,4.8
508,4.3
509,3.9
510,3.5
511,3.2
512,3.0
513,2.8
514,2.5
515,2.3
516,2.2
517,2.0
518,1.8
519,1.7
520,1.5
521,1.4
522,1.6
523,2.2
524,2.6
525,3.0
526,3.3
527,3.5
528,3.6999998
529,3.9
530,3.9
531,4.1
532,4.4
533,4.8
534,4.9
535,5.0
536,4.3
537,3.9
538,3.4
539,3.1
540,2.8
541,2.6
542,2.4
543,2.2
544,2.0
545,1.8999999
546,1.7
547,1.6
548,1.4
549,1.3
550,1.7
551,2.2
552,2.6
553,3.0
554,3.2
555,3.5
556,3.6999998
557,3.9
558,3.9
559,4.1
560,4.3
561,4.4
562,4.5
563,4.6
564,4.7
565,4.8
566,4.9
567,4.7
568,4.0
569,3.6
570,3.2
571,3.0
572,2.7
573,2.5
574,2.3
575,2.1
576,2.4
577,2.9
578,3.3
579,3.6
580,3.9
581,3.9
582,4.2
583,4.1
584,3.6
585,3.1
586,2.8
587,2.5
588,2.3
589,2.1
590,1.8999999
591,1.7
592,1.6
593,1.5
594,1.4
595,2.0
596,2.5
597,2.9
598,3.2
599,3.4
600,3.6
601,3.7999997
602,3.9
603,4.0
604,4.2
605,4.3
606,4.4
607,4.5
608,4.6
609,4.7
610,4.8
611,4.9
612,4.8
613,4.1
614,3.6999998
615,3.3
616,3.0
617,2.8
618,2.5
619,2.3
620,2.2
621,2.0
622,1.8
623,1.6
624,1.5
625,1.3
626,1.4
627,2.0
628,2.4
629,2.8
630,3.1
631,3.4
632,3.6
633,3.7999997
634,3.9
635,4.0
636,4.2
637,4.3
638,4.4
639,4.5
640,4.9
641,5.6
642,2.9
643,2.9
644,2.6
645,2.8
646,2.8
647,2.4
648,2.1
649,1.8999999
650,2.0
651,1.7
652,1.7
653,2.4
654,3.1
655,3.6
656,5.3
657,5.6
658,6.6
659,5.7
660,4.7
661,4.3
662,3.9
663,3.6999998
664,3.3
665,3.0
666,2.8
667,2.5
668,3.0
669,3.2
670,3.2
671,2.9
672,2.6
673,2.4
674,2.2
675,1.8999999
676,2.8
677,2.5
678,2.3
679,2.0
680,1.8999999
681,1.7
682,1.5
683,1.4
684,1.2
685,1.0
686,1.0
687,1.2
688,2.0
689,2.3
690,2.6
691,2.9
692,3.3
693,3.6
694,3.9
695,4.0
696,4.2
697,4.4
698,4.5
699,4.7
700,4.8
701,4.8
702,4.1
703,3.7999997
704,3.4
705,3.1
706,2.9
707,2.5
708,2.3
709,2.2
710,2.0
711,1.8999999
712,1.8
713,1.6
714,1.5
715,1.4
716,1.7
717,1.6
718,1.4
719,1.5
720,1.3
721,2.0
722,2.4
723,2.7
724,3.0
725,3.7999997
726,4.2
727,3.7999997
728,3.4
729,3.9
730,4.7
731,4.8
732,4.8
733,5.1
734,5.5
735,5.6
736,5.2
737,4.6
738,4.2
739,3.9
740,3.6
741,3.3
742,3.0
743,2.8
744,2.6
745,2.4
746,2.2
747,2.3
748,2.4
749,2.1
750,1.8999999
751,1.6
752,1.7
753,1.4
754,1.2
755,1.0
756,1.3
757,1.4
758,1.1
759,1.0
760,2.3
761,3.9
762,3.9
763,3.4
764,3.0
765,2.7
766,2.4
767,2.1
768,1.8999999
769,1.7
770,2.2
771,1.8
772,1.3
773,1.1
774,1.1
775,1.8
776,2.3
777,3.5
778,3.6999998
779,3.9
780,4.5
781,4.2
782,4.2
783,4.2
784,4.0
785,3.9
786,3.6999998
787,3.5
788,3.4
789,4.2
790,4.9
791,4.5
792,4.0
793,3.6999998
794,3.2
795,3.0
796,2.8
797,2.6
798,2.5
799,2.3
800,2.2
801,2.1
802,2.0
803,1.7
804,1.6
805,1.8
806,2.4
807,2.8
808,3.1
809,3.5
810,3.9
811,4.1
812,4.3
813,3.7999997
814,3.3
815,3.0
816,2.7
817,2.6
818,2.4
819,2.8
820,4.0
821,4.7
822,5.6
823,6.1
824,6.3
825,6.5
826,6.7
827,6.4
828,5.9
829,5.6
830,5.4
831,5.2
832,5.1
833,4.9
834,4.9
835,4.8
836,4.8
837,4.5
838,4.4
839,4.3
840,4.3
841,4.2
842,4.6
843,4.3
844,3.9
845,3.6999998
846,3.4
847,3.2
848,3.0
849,2.7
850,2.5
851,2.3
852,2.2
853,2.0
854,1.8
855,1.6
856,1.5
857,1.3
858,1.1
859,1.0
860,0.8
861,0.7
862,0.6
863,0.5
864,0.4
865,0.3
866,0.2
867,0.6
868,1.3
869,1.7
870,2.1
871,2.3
872,2.5
873,2.7
874,3.0
875,3.3
876,3.6
877,3.9
878,3.9
879,4.2
880,4.3
881,4.5
882,4.6
883,4.8
884,4.9
885,5.0
886,5.1
887,4.6
888,4.1
889,3.6999998
890,3.3
891,3.1
892,2.8
893,3.1
894,3.3
895,3.1
896,2.9
897,2.6
898,2.4
899,2.3
900,2.1
901,1.8999999
902,1.7
903,1.6
904,1.5
905,1.3
906,1.2
907,1.1
908,1.0
909,1.0
910,1.8
911,2.2
912,2.6
913,2.9
914,3.2
915,3.4
916,3.6999998
917,3.9
918,3.9
919,4.1
920,4.3
921,4.4
922,4.6
923,4.7
924,4.8
925,4.5
926,3.9
927,3.5
928,2.9
929,2.6
930,2.4
931,2.0
932,1.8
933,1.7
934,1.6
935,1.4
936,1.3
937,1.2
938,1.2
939,1.8
940,2.3
941,2.6
942,2.9
943,3.2
944,3.4
945,3.6
946,3.7999997
947,3.9
948,4.2
949,4.3
950,4.4
951,4.5
952,4.6
953,4.8
954,4.8
955,4.9
956,5.0
957,5.1
958,5.2
959,5.3
960,5.3
961,5.4
962,5.3
963,4.6
964,4.0
965,3.6999998
966,3.4
967,3.1
968,2.8
969,2.6
970,2.4
971,2.2
972,2.0
973,1.8
974,1.7
975,1.6
976,1.4
977,1.3
978,1.2
979,1.4
980,2.0
981,2.4
982,2.8
983,3.0
984,3.3
985,3.5
986,3.6999998
987,3.9
988,3.9
989,4.1
990,4.2
991,4.3
992,4.5
993,4.6
994,4.7
995,4.8
