,0
0,
1,4.4543967
2,4.5450573
3,4.635451
4,4.725555
5,4.815346
6,4.904802
7,4.1810822
8,3.7708778
9,3.3518605
10,3.0392513
11,2.4233756
12,2.222213
13,2.0237525
14,1.8283782
15,1.6364717
16,1.5419357
17,1.3559269
18,1.2645428
19,1.6364717
20,2.1226208
21,2.5248501
22,2.832272
23,3.0392513
24,3.3518605
25,3.666009
26,3.8757594
27,3.980618
28,4.0854177
29,4.1810822
30,4.3634963
31,4.5450573
32,4.635451
33,4.725555
34,4.815346
35,4.904802
36,4.725555
37,3.980618
38,3.5611904
39,3.2474308
40,2.832272
41,2.6268554
42,2.3224804
43,2.1226208
44,1.9256555
45,1.7319682
46,1.6364717
47,1.4484057
48,1.2645428
49,1.4484057
50,2.0237525
51,2.4233756
52,2.7293448
53,3.0392513
54,3.2474308
55,3.4564612
56,3.666009
57,3.8757594
58,3.980618
59,3.980618
60,4.1810822
61,4.2723823
62,4.3634963
63,4.4543967
64,4.5450573
65,4.635451
66,4.725555
67,4.815346
68,4.904802
69,4.5450573
70,3.980618
71,3.4564612
72,3.1432128
73,2.7293448
74,2.5248501
75,2.222213
76,2.0237525
77,1.8283782
78,1.6364717
79,1.5419357
80,1.3559269
81,1.2645428
82,1.9256555
83,2.3224804
84,2.6268554
85,2.9355893
86,3.2474308
87,3.3518605
88,3.5611904
89,3.7708778
90,3.980618
91,3.980618
92,4.0854177
93,4.1810822
94,4.3634963
95,4.4543967
96,4.5450573
97,4.635451
98,4.725555
99,4.815346
100,4.815346
101,4.904802
102,4.2723823
103,3.7708778
104,3.3518605
105,2.9355893
106,2.6268554
107,2.3224804
108,2.222213
109,2.832272
110,3.2474308
111,3.5611904
112,3.8757594
113,3.980618
114,4.0854177
115,4.2723823
116,3.7708778
117,3.2474308
118,2.832272
119,2.5248501
120,2.222213
121,2.0237525
122,1.7319682
123,1.6364717
124,1.4484057
125,1.2645428
126,1.7319682
127,2.222213
128,2.6268554
129,2.832272
130,3.1432128
131,3.5611904
132,3.666009
133,3.8757594
134,3.980618
135,3.980618
136,4.1810822
137,4.2723823
138,4.3634963
139,4.4543967
140,4.5450573
141,4.635451
142,4.725555
143,4.815346
144,4.904802
145,4.815346
146,4.0854177
147,3.666009
148,3.2474308
149,2.832272
150,2.5248501
151,2.3224804
152,2.0237525
153,1.8283782
154,1.6364717
155,1.5419357
156,1.3559269
157,1.3559269
158,1.9256555
159,2.3224804
160,2.7293448
161,2.9355893
162,3.2474308
163,3.4564612
164,3.5611904
165,3.7708778
166,3.980618
167,3.980618
168,4.0854177
169,4.2723823
170,4.3634963
171,4.4543967
172,3.8757594
173,3.3518605
174,2.9355893
175,2.6268554
176,2.4233756
177,2.222213
178,2.3224804
179,2.222213
180,2.6268554
181,2.222213
182,1.9256555
183,1.6364717
184,1.4484057
185,1.1742963
186,1.6364717
187,2.222213
188,3.3518605
189,3.5611904
190,3.980618
191,4.5450573
192,4.5450573
193,4.3634963
194,3.980618
195,3.5611904
196,3.1432128
197,2.7293448
198,2.4233756
199,2.6268554
200,2.9355893
201,2.9355893
202,2.5248501
203,2.222213
204,1.9256555
205,2.5248501
206,2.4233756
207,2.3224804
208,2.6268554
209,2.4233756
210,1.6364717
211,1.3559269
212,1.1742963
213,1.0852292
214,1.7319682
215,2.1226208
216,2.4233756
217,2.7293448
218,3.1432128
219,3.4564612
220,3.666009
221,3.980618
222,3.980618
223,4.1810822
224,4.3634963
225,4.4543967
226,4.635451
227,4.725555
228,4.815346
229,4.904802
230,4.2723823
231,3.7708778
232,3.3518605
233,3.0392513
234,2.7293448
235,2.5248501
236,2.3224804
237,2.1226208
238,1.9256555
239,1.7319682
240,1.6364717
241,1.4484057
242,1.3559269
243,1.7319682
244,2.3224804
245,2.6268554
246,3.0392513
247,3.2474308
248,3.4564612
249,3.7708778
250,3.980618
251,3.980618
252,4.1810822
253,4.4543967
254,4.5450573
255,4.635451
256,4.725555
257,4.815346
258,4.904802
259,4.3634963
260,3.980618
261,3.666009
262,3.3518605
263,3.666009
264,4.3634963
265,4.5450573
266,4.9939046
267,5.0826335
268,5.4334946
269,5.691999
270,5.170973
271,4.725555
272,4.3634963
273,4.2723823
274,3.5611904
275,3.2474308
276,3.2474308
277,3.980618
278,3.4564612
279,3.0392513
280,2.7293448
281,2.5248501
282,2.5248501
283,2.832272
284,2.4233756
285,2.6268554
286,2.4233756
287,2.3224804
288,2.0237525
289,2.4233756
290,2.0237525
291,1.8283782
292,1.6364717
293,1.4484057
294,1.4484057
295,1.4484057
296,1.6364717
297,2.222213
298,2.3224804
299,2.5248501
300,3.0392513
301,2.832272
302,2.5248501
303,2.3224804
304,2.1226208
305,2.0237525
306,2.0237525
307,2.0237525
308,2.3224804
309,2.1226208
310,1.9256555
311,2.0237525
312,1.8283782
313,1.6364717
314,1.5419357
315,1.3559269
316,1.2645428
317,1.1742963
318,1.6364717
319,1.6364717
320,2.0237525
321,2.0237525
322,1.6364717
323,1.4484057
324,1.2645428
325,1.0852292
326,1.0852292
327,0.91079336
328,0.82550126
329,0.7415419
330,0.6589497
331,0.5777575
332,1.0852292
333,1.6364717
334,2.0237525
335,2.3224804
336,2.6268554
337,2.832272
338,3.2474308
339,3.666009
340,3.980618
341,4.1810822
342,4.3634963
343,4.5450573
344,4.725555
345,4.815346
346,4.9939046
347,5.0826335
348,4.815346
349,4.3634963
350,3.980618
351,3.5611904
352,3.2474308
353,3.0392513
354,2.832272
355,2.6268554
356,2.5248501
357,2.3224804
358,2.222213
359,2.0237525
360,1.9256555
361,1.8283782
362,1.7319682
