Time,PH
2018/8/29 0:01,7.84
2018/8/29 0:03,7.69
2018/8/29 0:05,7.67
2018/8/29 0:07,7.67
2018/8/29 0:09,7.81
2018/8/29 0:11,7.79
2018/8/29 0:13,7.81
2018/8/29 0:15,7.67
2018/8/29 0:17,7.79
2018/8/29 0:19,7.84
2018/8/29 0:21,7.86
2018/8/29 0:23,7.86
2018/8/29 0:25,7.82
2018/8/29 0:27,7.67
2018/8/29 0:29,7.67
2018/8/29 0:31,7.67
2018/8/29 0:33,7.84
2018/8/29 0:35,7.67
2018/8/29 0:37,7.74
2018/8/29 0:39,7.86
2018/8/29 0:41,7.84
2018/8/29 0:43,7.72
2018/8/29 0:45,7.86
2018/8/29 0:47,7.84
2018/8/29 0:49,7.84
2018/8/29 0:51,7.67
2018/8/29 0:53,7.67
2018/8/29 0:55,7.81
2018/8/29 0:57,7.82
2018/8/29 0:59,7.84
2018/8/29 1:01,7.67
2018/8/29 1:03,7.67
2018/8/29 1:05,7.74
2018/8/29 1:07,7.81
2018/8/29 1:09,7.74
2018/8/29 1:11,7.67
2018/8/29 1:13,7.75
2018/8/29 1:15,7.75
2018/8/29 1:17,7.72
2018/8/29 1:19,7.67
2018/8/29 1:21,7.67
2018/8/29 1:23,7.7
2018/8/29 1:25,7.67
2018/8/29 1:27,7.69
2018/8/29 1:29,7.86
2018/8/29 1:31,7.67
2018/8/29 1:33,7.67
2018/8/29 1:35,7.82
2018/8/29 1:37,7.77
2018/8/29 1:39,7.84
2018/8/29 1:41,7.82
2018/8/29 1:43,7.72
2018/8/29 1:45,7.84
2018/8/29 1:47,7.84
2018/8/29 1:49,7.82
2018/8/29 1:51,7.81
2018/8/29 1:53,7.81
2018/8/29 1:55,7.65
2018/8/29 1:57,7.82
2018/8/29 1:59,7.7
2018/8/29 2:01,7.79
2018/8/29 2:03,7.79
2018/8/29 2:05,7.65
2018/8/29 2:07,7.84
2018/8/29 2:09,7.84
2018/8/29 2:11,7.84
2018/8/29 2:13,7.84
2018/8/29 2:15,7.69
2018/8/29 2:17,7.79
2018/8/29 2:19,7.84
2018/8/29 2:21,7.75
