时段,首记录,末记录,收到记录,应收记录,丢包率
2018/8/30 小时: 12,2018-08-30 12:00:14,2018-08-30 12:58:14,30.0,30.0,0.0
2018/8/30 小时: 13,2018-08-30 13:00:14,2018-08-30 13:58:14,30.0,30.0,0.0
2018/8/30 小时: 14,2018-08-30 14:00:14,2018-08-30 14:58:14,30.0,30.0,0.0
2018/8/30 小时: 15,2018-08-30 15:00:14,2018-08-30 15:58:14,29.0,30.0,0.033333333333333326
2018/8/30 小时: 16,2018-08-30 16:00:14,2018-08-30 16:58:15,30.0,30.0,0.0
2018/8/30 小时: 17,2018-08-30 17:00:15,2018-08-30 17:58:15,30.0,30.0,0.0
2018/8/30 小时: 18,2018-08-30 18:00:15,2018-08-30 18:58:15,30.0,30.0,0.0
2018/8/30 小时: 19,2018-08-30 19:00:15,2018-08-30 19:58:15,30.0,30.0,0.0
2018/8/30 小时: 20,2018-08-30 20:00:15,2018-08-30 20:58:15,30.0,30.0,0.0
2018/8/30 小时: 21,2018-08-30 21:00:15,2018-08-30 21:58:15,30.0,30.0,0.0
2018/8/30 小时: 22,2018-08-30 22:00:15,2018-08-30 22:58:15,30.0,30.0,0.0
2018/8/30 小时: 23,2018-08-30 23:00:15,2018-08-30 23:58:14,30.0,30.0,0.0
2018/8/31 小时: 0,2018-08-31 00:00:14,2018-08-31 00:58:14,30.0,30.0,0.0
2018/8/31 小时: 1,2018-08-31 01:00:14,2018-08-31 01:58:14,30.0,30.0,0.0
2018/8/31 小时: 2,2018-08-31 02:00:14,2018-08-31 02:58:14,30.0,30.0,0.0
2018/8/31 小时: 3,2018-08-31 03:00:14,2018-08-31 03:58:14,30.0,30.0,0.0
2018/8/31 小时: 4,2018-08-31 04:00:14,2018-08-31 04:58:14,30.0,30.0,0.0
2018/8/31 小时: 5,2018-08-31 05:00:14,2018-08-31 05:58:14,30.0,30.0,0.0
2018/8/31 小时: 6,2018-08-31 06:00:14,2018-08-31 06:58:14,30.0,30.0,0.0
2018/8/31 小时: 7,2018-08-31 07:00:14,2018-08-31 07:58:14,30.0,30.0,0.0
2018/8/31 小时: 8,2018-08-31 08:00:14,2018-08-31 08:58:14,30.0,30.0,0.0
2018/8/31 小时: 9,2018-08-31 09:00:14,2018-08-31 09:58:14,30.0,30.0,0.0
2018/8/31 小时: 10,2018-08-31 10:00:14,2018-08-31 10:58:14,30.0,30.0,0.0
2018/8/31 小时: 11,2018-08-31 11:00:14,2018-08-31 11:58:14,30.0,30.0,0.0
