time,temp,humidity
2018-12-21 00:02,-15.15,71.9
2018-12-21 00:07,-15.26,72.09
2018-12-21 00:12,-15.36,72.01
2018-12-21 00:17,-15.44,71.98
2018-12-21 00:22,-15.54,72.04
2018-12-21 00:27,-15.59,72.23
2018-12-21 00:32,-15.67,72.26
2018-12-21 00:38,-15.75,72.16
2018-12-21 00:43,-15.81,72.21
2018-12-21 00:48,-15.87,72.31
2018-12-21 00:53,-15.91,72.46
2018-12-21 00:58,-15.97,72.4
2018-12-21 01:03,-16.02,72.32
2018-12-21 01:08,-16.06,72.43
2018-12-21 01:13,-16.1,72.57
2018-12-21 01:18,-16.13,72.57
2018-12-21 01:23,-16.19,72.47
2018-12-21 01:28,-16.25,72.44
2018-12-21 01:33,-16.29,72.55
2018-12-21 01:38,-16.29,72.69
2018-12-21 01:43,-16.33,72.6
2018-12-21 01:48,-16.38,72.51
2018-12-21 01:53,-16.4,72.54
2018-12-21 01:58,-16.41,72.64
2018-12-21 02:03,-16.44,72.72
2018-12-21 02:08,-16.46,72.6
2018-12-21 02:13,-16.49,72.54
2018-12-21 02:18,-16.53,72.62
2018-12-21 02:23,-16.55,72.73
2018-12-21 02:28,-16.57,72.7
2018-12-21 02:34,-16.58,72.58
2018-12-21 02:39,-16.6,72.57
2018-12-21 02:44,-16.62,72.62
2018-12-21 02:49,-16.63,72.72
2018-12-21 02:54,-16.67,72.63
2018-12-21 02:59,-16.67,72.51
2018-12-21 03:04,-16.7,72.53
2018-12-21 03:09,-16.7,72.6
2018-12-21 03:14,-16.7,72.66
2018-12-21 03:19,-16.73,72.51
2018-12-21 03:24,-16.75,72.41
2018-12-21 03:29,-16.75,72.46
2018-12-21 03:34,-16.75,72.54
2018-12-21 03:39,-16.76,72.56
2018-12-21 03:44,-16.75,72.39
2018-12-21 03:49,-16.78,72.33
2018-12-21 03:54,-16.78,72.37
2018-12-21 03:59,-16.78,72.49
2018-12-21 04:04,-16.8,72.46
2018-12-21 04:15,-16.84,72.25
2018-12-21 04:20,-16.84,72.31
2018-12-21 04:25,-16.83,72.43
2018-12-21 04:30,-16.85,72.36
2018-12-21 04:35,-16.87,72.18
2018-12-21 04:40,-16.85,72.15
2018-12-21 04:45,-16.87,72.21
2018-12-21 04:50,-16.89,72.31
2018-12-21 04:55,-16.87,72.22
2018-12-21 05:00,-16.9,72.08
2018-12-21 05:05,-16.88,72.05
2018-12-21 05:10,-16.91,72.14
2018-12-21 05:15,-16.89,72.22
2018-12-21 05:20,-16.89,72.12
2018-12-21 05:25,-16.92,71.99
2018-12-21 05:30,-16.94,72.01
2018-12-21 05:35,-16.92,72.1
2018-12-21 05:40,-16.94,72.17
2018-12-21 05:45,-16.92,72.04
2018-12-21 05:50,-16.94,71.92
2018-12-21 05:55,-16.95,71.93
2018-12-21 06:01,-16.94,72.05
2018-12-21 06:06,-16.94,72.09
2018-12-21 06:11,-16.95,71.93
2018-12-21 06:16,-16.98,71.86
2018-12-21 06:21,-16.97,71.92
2018-12-21 06:26,-16.98,72.04
2018-12-21 06:31,-16.94,72.06
2018-12-21 06:36,-16.99,71.88
