time,data
2018-12-21T00:02:46+08:00,14fa161c1a0d
2018-12-21T00:07:49+08:00,09fa291c1e0d
2018-12-21T00:12:51+08:00,fff9211c1e0d
2018-12-21T00:17:52+08:00,f7f91e1c1a0d
2018-12-21T00:22:55+08:00,edf9241c1a0d
2018-12-21T00:27:57+08:00,e8f9371c160d
2018-12-21T00:32:59+08:00,e0f93a1c160d
2018-12-21T00:38:03+08:00,d8f9301c160d
2018-12-21T00:43:08+08:00,d2f9351c160d
2018-12-21T00:48:09+08:00,ccf93f1c1a0d
2018-12-21T00:53:10+08:00,c8f94e1c1a0d
2018-12-21T00:58:13+08:00,c2f9481c160d
2018-12-21T01:03:15+08:00,bdf9401c160d
2018-12-21T01:08:18+08:00,b9f94b1c160d
2018-12-21T01:13:19+08:00,b5f9591c160d
2018-12-21T01:18:23+08:00,b2f9591c160d
2018-12-21T01:23:28+08:00,acf94f1c160d
2018-12-21T01:28:31+08:00,a6f94c1c0d0d
2018-12-21T01:33:32+08:00,a2f9571c160d
2018-12-21T01:38:33+08:00,a2f9651c0d0d
2018-12-21T01:43:38+08:00,9ef95c1c1a0d
2018-12-21T01:48:39+08:00,99f9531c110d
2018-12-21T01:53:40+08:00,97f9561c160d
2018-12-21T01:58:45+08:00,96f9601c160d
2018-12-21T02:03:48+08:00,93f9681c0d0d
2018-12-21T02:08:49+08:00,91f95c1c0d0d
2018-12-21T02:13:53+08:00,8ef9561c110d
2018-12-21T02:18:54+08:00,8af95e1c0d0d
2018-12-21T02:23:57+08:00,88f9691c0d0d
2018-12-21T02:28:59+08:00,86f9661c0d0d
2018-12-21T02:34:01+08:00,85f95a1c0d0d
2018-12-21T02:39:02+08:00,83f9591c160d
2018-12-21T02:44:05+08:00,81f95e1c160d
2018-12-21T02:49:08+08:00,80f9681c0d0d
2018-12-21T02:54:13+08:00,7cf95f1c0d0d
2018-12-21T02:59:14+08:00,7cf9531c0d0d
2018-12-21T03:04:15+08:00,79f9551c0d0d
2018-12-21T03:09:18+08:00,79f95c1c0d0d
2018-12-21T03:14:23+08:00,79f9621c0d0d
2018-12-21T03:19:28+08:00,76f9531c0d0d
2018-12-21T03:24:31+08:00,74f9491c0d0d
2018-12-21T03:29:35+08:00,74f94e1c0d0d
2018-12-21T03:34:37+08:00,74f9561c0d0d
2018-12-21T03:39:39+08:00,73f9581c090d
2018-12-21T03:44:41+08:00,74f9471c0d0d
2018-12-21T03:49:45+08:00,71f9411c0d0d
2018-12-21T03:54:48+08:00,71f9451c0d0d
2018-12-21T03:59:50+08:00,71f9511c0d0d
2018-12-21T04:04:55+08:00,6ff94e1c0d0d
2018-12-21T04:15:01+08:00,6bf9391c090d
2018-12-21T04:20:02+08:00,6bf93f1c0d0d
2018-12-21T04:25:06+08:00,6cf94b1c120d
2018-12-21T04:30:09+08:00,6af9441c0d0d
2018-12-21T04:35:11+08:00,68f9321c090d
2018-12-21T04:40:13+08:00,6af92f1c0d0d
2018-12-21T04:45:14+08:00,68f9351c0d0d
2018-12-21T04:50:17+08:00,66f93f1c090d
2018-12-21T04:55:19+08:00,68f9361c0d0d
2018-12-21T05:00:20+08:00,65f9281c0d0d
2018-12-21T05:05:23+08:00,67f9251c160d
2018-12-21T05:10:25+08:00,64f92e1c090d
2018-12-21T05:15:28+08:00,66f9361c160d
2018-12-21T05:20:31+08:00,66f92c1c0d0d
2018-12-21T05:25:35+08:00,63f91f1c0d0d
2018-12-21T05:30:39+08:00,61f9211c160d
2018-12-21T05:35:43+08:00,63f92a1c090d
2018-12-21T05:40:47+08:00,61f9311c090d
2018-12-21T05:45:51+08:00,63f9241c160d
2018-12-21T05:50:54+08:00,61f9181c090d
2018-12-21T05:55:56+08:00,60f9191c090d
2018-12-21T06:01:00+08:00,61f9251c0d0d
2018-12-21T06:06:03+08:00,61f9291c0d0d
2018-12-21T06:11:03+08:00,60f9191c0d0d
2018-12-21T06:16:07+08:00,5df9121c0d0d
2018-12-21T06:21:08+08:00,5ef9181c0d0d
2018-12-21T06:26:11+08:00,5df9241c090d
2018-12-21T06:31:12+08:00,61f9261c090d
2018-12-21T06:36:13+08:00,5cf9141c110d
2018-12-21T06:41:15+08:00,5df90e1c090d
2018-12-21T06:46:16+08:00,5cf9151c160d
