ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/14 Сʱ: 0,2018-12-14 00:01:00,2018-12-14 00:59:00,11.0,30.0,0.6333333333333333
2018/12/14 Сʱ: 1,2018-12-14 01:04:00,2018-12-14 01:58:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 2,2018-12-14 02:04:00,2018-12-14 02:58:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 3,2018-12-14 03:03:00,2018-12-14 03:55:00,10.0,27.0,0.6296296296296297
2018/12/14 Сʱ: 4,2018-12-14 04:01:00,2018-12-14 04:56:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 5,2018-12-14 05:01:00,2018-12-14 05:56:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 6,2018-12-14 06:01:00,2018-12-14 06:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 7,2018-12-14 07:02:00,2018-12-14 07:55:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 8,2018-12-14 08:00:00,2018-12-14 08:58:00,10.0,30.0,0.6666666666666667
2018/12/14 Сʱ: 9,2018-12-14 09:03:00,2018-12-14 09:57:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 10,2018-12-14 10:02:00,2018-12-14 10:57:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 11,2018-12-14 11:03:00,2018-12-14 11:57:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 12,2018-12-14 12:03:00,2018-12-14 12:54:00,9.0,27.0,0.6666666666666667
2018/12/14 Сʱ: 13,2018-12-14 13:01:00,2018-12-14 13:56:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 14,2018-12-14 14:02:00,2018-12-14 14:53:00,9.0,27.0,0.6666666666666667
2018/12/14 Сʱ: 15,2018-12-14 15:00:00,2018-12-14 15:53:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 16,2018-12-14 16:00:00,2018-12-14 16:54:00,10.0,28.0,0.6428571428571428
2018/12/14 Сʱ: 17,2018-12-14 17:00:00,2018-12-14 17:59:00,11.0,31.0,0.6451612903225806
2018/12/14 Сʱ: 18,2018-12-14 18:05:00,2018-12-14 18:54:00,9.0,26.0,0.6538461538461539
2018/12/14 Сʱ: 19,2018-12-14 19:00:00,2018-12-14 19:55:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 20,2018-12-14 20:02:00,2018-12-14 20:58:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 21,2018-12-14 21:05:00,2018-12-14 21:56:00,9.0,27.0,0.6666666666666667
2018/12/14 Сʱ: 22,2018-12-14 22:01:00,2018-12-14 22:57:00,10.0,29.0,0.6551724137931034
2018/12/14 Сʱ: 23,2018-12-14 23:03:00,2018-12-14 23:56:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 0,2018-12-15 00:03:00,2018-12-15 00:55:00,10.0,27.0,0.6296296296296297
2018/12/15 Сʱ: 1,2018-12-15 01:01:00,2018-12-15 01:58:00,10.0,30.0,0.6666666666666667
2018/12/15 Сʱ: 2,2018-12-15 02:05:00,2018-12-15 02:56:00,10.0,27.0,0.6296296296296297
2018/12/15 Сʱ: 3,2018-12-15 03:01:00,2018-12-15 03:59:00,11.0,30.0,0.6333333333333333
2018/12/15 Сʱ: 4,2018-12-15 04:05:00,2018-12-15 04:58:00,10.0,28.0,0.6428571428571428
2018/12/15 Сʱ: 5,2018-12-15 05:05:00,2018-12-15 05:59:00,10.0,28.0,0.6428571428571428
