time,temp,humidity
2018/12/14 0:01,-20.3,0.70 
2018/12/14 0:07,-20.2,0.73 
2018/12/14 0:12,-20.4,0.67 
2018/12/14 0:17,-20.3,0.72 
2018/12/14 0:23,-20.2,0.73 
2018/12/14 0:28,-20.4,0.67 
2018/12/14 0:34,-20.3,0.71 
2018/12/14 0:40,-20.2,0.72 
2018/12/14 0:46,-20.4,0.67 
2018/12/14 0:52,-20.2,0.73 
2018/12/14 0:59,-20.3,0.68 
2018/12/14 1:04,-20.3,0.70 
2018/12/14 1:10,-20.1,0.74 
2018/12/14 1:16,-20.4,0.66 
2018/12/14 1:23,-20.3,0.71 
2018/12/14 1:29,-20.2,0.71 
2018/12/14 1:35,-20.4,0.68 
2018/12/14 1:40,-20.2,0.73 
2018/12/14 1:46,-20.3,0.68 
2018/12/14 1:53,-20.4,0.68 
2018/12/14 1:58,-20.1,0.74 
2018/12/14 2:04,-20.4,0.67 
2018/12/14 2:09,-20.3,0.70 
2018/12/14 2:16,-20.1,0.74 
2018/12/14 2:21,-20.4,0.66 
2018/12/14 2:27,-20.3,0.71 
2018/12/14 2:33,-20.2,0.74 
2018/12/14 2:39,-20.4,0.67 
2018/12/14 2:45,-20.3,0.72 
2018/12/14 2:51,-20.3,0.69 
2018/12/14 2:58,-20.4,0.68 
2018/12/14 3:03,-20.1,0.74 
2018/12/14 3:09,-20.4,0.67 
2018/12/14 3:15,-20.3,0.70 
2018/12/14 3:21,-20.2,0.73 
2018/12/14 3:26,-20.4,0.66 
2018/12/14 3:31,-20.3,0.71 
2018/12/14 3:37,-20.1,0.74 
2018/12/14 3:44,-20.4,0.66 
2018/12/14 3:50,-20.3,0.72 
2018/12/14 3:55,-20.3,0.71 
2018/12/14 4:01,-20.4,0.68 
2018/12/14 4:08,-20.2,0.73 
2018/12/14 4:13,-20.3,0.67 
2018/12/14 4:19,-20.4,0.69 
2018/12/14 4:25,-20.1,0.74 
2018/12/14 4:32,-20.4,0.67 
2018/12/14 4:38,-20.3,0.71 
2018/12/14 4:44,-20.2,0.73 
2018/12/14 4:50,-20.4,0.67 
2018/12/14 4:56,-20.2,0.73 
2018/12/14 5:01,-20.3,0.69 
2018/12/14 5:07,-20.4,0.68 
2018/12/14 5:13,-20.2,0.73 
2018/12/14 5:20,-20.3,0.68 
2018/12/14 5:25,-20.4,0.70 
2018/12/14 5:31,-20.1,0.74 
2018/12/14 5:38,-20.4,0.67 
2018/12/14 5:44,-20.3,0.71 
2018/12/14 5:51,-20.3,0.71 
2018/12/14 5:56,-20.4,0.68 
2018/12/14 6:01,-20.2,0.73 
2018/12/14 6:08,-20.3,0.69 
2018/12/14 6:13,-20.4,0.69 
2018/12/14 6:18,-20.2,0.74 
2018/12/14 6:25,-20.4,0.68 
2018/12/14 6:31,-20.4,0.70 
2018/12/14 6:37,-20.1,0.74 
2018/12/14 6:44,-20.4,0.67 
2018/12/14 6:49,-20.3,0.72 
2018/12/14 6:55,-20.3,0.71 
2018/12/14 7:02,-20.4,0.68 
2018/12/14 7:07,-20.2,0.73 
2018/12/14 7:13,-20.3,0.69 
2018/12/14 7:18,-20.4,0.68 
2018/12/14 7:25,-20.2,0.74 
2018/12/14 7:31,-20.4,0.67 
2018/12/14 7:38,-20.3,0.71 
2018/12/14 7:44,-20.3,0.72 
2018/12/14 7:49,-20.4,0.67 
2018/12/14 7:55,-20.3,0.72 
2018/12/14 8:00,-20.3,0.69 
2018/12/14 8:07,-20.4,0.68 
2018/12/14 8:12,-20.2,0.74 
2018/12/14 8:19,-20.3,0.68 
2018/12/14 8:26,-20.4,0.70 
2018/12/14 8:31,-20.1,0.74 
2018/12/14 8:37,-20.4,0.66 
2018/12/14 8:44,-20.3,0.71 
2018/12/14 8:51,-20.3,0.71 
2018/12/14 8:58,-20.4,0.69 
2018/12/14 9:03,-20.1,0.75 
2018/12/14 9:08,-20.4,0.67 
2018/12/14 9:14,-20.3,0.70 
2018/12/14 9:19,-20.1,0.75 
2018/12/14 9:26,-20.4,0.67 
2018/12/14 9:31,-20.3,0.71 
2018/12/14 9:37,-20.1,0.74 
2018/12/14 9:44,-20.4,0.67 
2018/12/14 9:50,-20.3,0.72 
2018/12/14 9:57,-20.3,0.69 
2018/12/14 10:02,-20.4,0.69 
2018/12/14 10:09,-20.2,0.74 
2018/12/14 10:14,-20.4,0.66 
2018/12/14 10:21,-20.4,0.70 
2018/12/14 10:27,-20.2,0.74 
2018/12/14 10:33,-20.4,0.67 
2018/12/14 10:40,-20.3,0.72 
2018/12/14 10:45,-20.3,0.69 
2018/12/14 10:51,-20.4,0.69 
2018/12/14 10:57,-20.1,0.74 
2018/12/14 11:03,-20.4,0.67 
2018/12/14 11:09,-20.3,0.70 
2018/12/14 11:14,-20.1,0.75 
2018/12/14 11:20,-20.4,0.66 
2018/12/14 11:25,-20.3,0.71 
2018/12/14 11:31,-20.1,0.74 
2018/12/14 11:38,-20.4,0.67 
2018/12/14 11:45,-20.3,0.72 
2018/12/14 11:51,-20.3,0.69 
2018/12/14 11:57,-20.4,0.69 
2018/12/14 12:03,-20.1,0.74 
2018/12/14 12:09,-20.4,0.66 
2018/12/14 12:16,-20.3,0.71 
2018/12/14 12:23,-20.3,0.71 
2018/12/14 12:29,-20.4,0.69 
2018/12/14 12:35,-20.1,0.74 
2018/12/14 12:41,-20.4,0.67 
2018/12/14 12:48,-20.3,0.70 
2018/12/14 12:54,-20.1,0.74 
2018/12/14 13:01,-20.4,0.67 
2018/12/14 13:07,-20.2,0.73 
2018/12/14 13:12,-20.3,0.68 
2018/12/14 13:18,-20.4,0.68 
2018/12/14 13:25,-20.1,0.74 
2018/12/14 13:31,-20.3,0.66 
2018/12/14 13:38,-20.3,0.71 
2018/12/14 13:44,-20.2,0.72 
2018/12/14 13:51,-20.4,0.68 
2018/12/14 13:56,-20.1,0.74 
2018/12/14 14:02,-20.3,0.67 
2018/12/14 14:10,-20.3,0.70 
2018/12/14 14:16,-20.2,0.73 
2018/12/14 14:23,-20.4,0.68 
2018/12/14 14:28,-20.1,0.74 
2018/12/14 14:35,-20.3,0.67 
2018/12/14 14:42,-20.3,0.70 
2018/12/14 14:47,-20.2,0.73 
2018/12/14 14:53,-20.4,0.67 
2018/12/14 15:00,-20.3,0.72 
2018/12/14 15:06,-20.3,0.69 
2018/12/14 15:12,-20.4,0.68 
2018/12/14 15:18,-20.1,0.74 
2018/12/14 15:25,-20.4,0.66 
2018/12/14 15:30,-20.3,0.71 
2018/12/14 15:37,-20.2,0.73 
2018/12/14 15:42,-20.4,0.67 
2018/12/14 15:47,-20.2,0.72 
2018/12/14 15:53,-20.2,0.71 
2018/12/14 16:00,-20.4,0.68 
2018/12/14 16:05,-20.2,0.74 
2018/12/14 16:12,-20.3,0.68 
2018/12/14 16:18,-20.3,0.70 
2018/12/14 16:23,-20.1,0.73 
2018/12/14 16:30,-20.4,0.66 
2018/12/14 16:36,-20.2,0.72 
2018/12/14 16:43,-20.3,0.69 
2018/12/14 16:49,-20.3,0.69 
