Time,Oxygen
2018/8/29 0:01,6.02
2018/8/29 0:03,5.82
2018/8/29 0:05,5.9
2018/8/29 0:07,5.91
2018/8/29 0:09,5.89
2018/8/29 0:11,5.84
2018/8/29 0:13,5.72
2018/8/29 0:15,5.37
2018/8/29 0:17,5.58
2018/8/29 0:19,5.67
2018/8/29 0:21,5.83
2018/8/29 0:23,5.81
2018/8/29 0:25,5.8
2018/8/29 0:27,5.67
2018/8/29 0:29,5.55
2018/8/29 0:31,5.46
2018/8/29 0:33,5.53
2018/8/29 0:35,5.57
2018/8/29 0:37,5.52
2018/8/29 0:39,5.41
2018/8/29 0:41,5.54
2018/8/29 0:43,5.4
2018/8/29 0:45,5.69
2018/8/29 0:47,5.94
2018/8/29 0:49,5.93
2018/8/29 0:51,5.76
2018/8/29 0:53,5.76
2018/8/29 0:55,5.98
2018/8/29 0:57,6.03
2018/8/29 0:59,6.02
2018/8/29 1:01,5.9
2018/8/29 1:03,6.07
2018/8/29 1:05,6.1
2018/8/29 1:07,5.84
2018/8/29 1:09,6.21
2018/8/29 1:11,6.24
2018/8/29 1:13,6.26
2018/8/29 1:15,6.23
2018/8/29 1:17,6.28
2018/8/29 1:19,6.07
2018/8/29 1:21,6.07
2018/8/29 1:23,6.2
2018/8/29 1:25,6.29
2018/8/29 1:27,6.36
2018/8/29 1:29,6.32
2018/8/29 1:31,5.98
2018/8/29 1:33,6.08
2018/8/29 1:35,5.97
2018/8/29 1:37,5.33
2018/8/29 1:39,6.19
2018/8/29 1:41,5.23
2018/8/29 1:43,5.44
2018/8/29 1:45,5.04
2018/8/29 1:47,5.58
2018/8/29 1:49,5.85
2018/8/29 1:51,5.86
2018/8/29 1:53,6.35
2018/8/29 1:55,6.21
2018/8/29 1:57,5.86
2018/8/29 1:59,5.44
2018/8/29 2:01,5.96
2018/8/29 2:03,5.32
2018/8/29 2:05,5.76
2018/8/29 2:07,5.39
2018/8/29 2:09,5.94
2018/8/29 2:11,5.89
2018/8/29 2:13,5.8
2018/8/29 2:15,6.17
2018/8/29 2:17,6.21
2018/8/29 2:19,6.24
2018/8/29 2:21,6.14
2018/8/29 2:23,6.18
2018/8/29 2:25,6.13
2018/8/29 2:27,6.15
2018/8/29 2:29,6.19
2018/8/29 2:31,6.25
2018/8/29 2:33,6.15
2018/8/29 2:35,6.24
2018/8/29 2:37,6.21
2018/8/29 2:39,5.98
2018/8/29 2:41,5.77
2018/8/29 2:43,5.47
2018/8/29 2:45,5.82
2018/8/29 2:47,5.98
2018/8/29 2:49,6.08
2018/8/29 2:51,6.11
2018/8/29 2:53,6.07
2018/8/29 2:55,6.25
2018/8/29 2:57,6.11
2018/8/29 2:59,5.95
2018/8/29 3:01,6.1
2018/8/29 3:03,6.22
2018/8/29 3:05,6.2
2018/8/29 3:07,6.2
2018/8/29 3:09,6.2
2018/8/29 3:11,6.21
2018/8/29 3:13,6.18
2018/8/29 3:15,6.1
2018/8/29 3:17,6.18
2018/8/29 3:19,6.19
2018/8/29 3:21,6.14
2018/8/29 3:23,6.2
2018/8/29 3:25,6.17
2018/8/29 3:27,6.07
2018/8/29 3:29,5.95
2018/8/29 3:31,6.09
2018/8/29 3:33,6.21
2018/8/29 3:35,6.18
2018/8/29 3:37,6.11
2018/8/29 3:39,6
2018/8/29 3:41,6.13
2018/8/29 3:43,6.16
2018/8/29 3:45,6.17
2018/8/29 3:47,6.15
2018/8/29 3:49,6.17
2018/8/29 3:51,6.09
2018/8/29 3:53,6.16
